rider_name,year,uci_points
alejandro valverde,2018,4024.0
elia viviani,2018,2946.0
peter sagan,2018,2897.0
tom dumoulin,2018,2673.9
simon yates,2018,2670.0
julian alaphilippe,2018,2646.8
greg van avermaet,2018,2520.5
geraint thomas,2018,2482.249999642372
romain bardet,2018,2475.0
michael matthews,2018,2449.9
thibaut pinot,2018,2330.0
tim wellens,2018,2296.0
primoz roglic,2018,2294.3
miguel angel lopez,2018,2263.0
jasper stuyven,2018,2098.0
michael valgren andersen,2018,1998.0
christopher froome,2018,1971.679999947548
michal kwiatkowski,2018,1937.0
arnaud demare,2018,1926.0
oliver naesen,2018,1866.0
niki terpstra,2018,1791.4
sonny colbrelli,2018,1729.8
pascal ackermann,2018,1661.0
alexander kristoff,2018,1656.0
nairo quintana,2018,1585.0
jakob fuglsang,2018,1542.0
steven kruijswijk,2018,1539.0
ion izagirre,2018,1509.0
philippe gilbert,2018,1466.5
domenico pozzovivo,2018,1462.0
tiesj benoot,2018,1424.4
daryl impey,2018,1424.2
gianni moscon,2018,1409.7
egan bernal,2018,1409.2
bauke mollema,2018,1403.0
michael woods,2018,1368.0
richie porte,2018,1358.5699996948242
enric mas,2018,1345.9
rigoberto uran,2018,1335.0
matej mohoric,2018,1255.0
dylan teuns,2018,1241.6
bob jungels,2018,1240.1
diego ulissi,2018,1212.0
rohan dennis,2018,1201.5699996948242
vincenzo nibali,2018,1172.0
adam yates,2018,1167.5
john degenkolb,2018,1166.4
dan martin,2018,1121.0
george bennett,2018,1106.0
roman kreuziger,2018,1100.0
aleksey lutsenko,2018,1097.0
zdenek stybar,2018,1085.0
patrick konrad,2018,1082.8
mikel landa,2018,1036.0
richard carapaz,2018,1036.0
hugo hofstetter,2018,1030.0
dylan groenewegen,2018,1025.7
marc soler,2018,1009.1599998474121
andrea pasqualon,2018,1001.0
christophe laporte,2018,1000.0
timothy dupont,2018,999.0
eduard prades,2018,978.0
pierre latour,2018,976.0
sep vanmarcke,2018,966.0
gorka izagirre,2018,953.0
mads pedersen,2018,949.0
maximilian schachmann,2018,948.1
matteo trentin,2018,937.3
yves lampaert,2018,928.3
damiano caruso,2018,928.2
fabio jakobsen,2018,903.1400003433228
wout van aert,2018,902.0
caleb ewan,2018,897.5
wilco kelderman,2018,887.3
luis leon sanchez,2018,882.0
emanuel buchmann,2018,856.0
sam bennett,2018,853.0
edvald boasson hagen,2018,825.0
timo roosen,2018,825.0
danny van poppel,2018,821.6
rui costa,2018,817.0
davide formolo,2018,807.0
enrico gasparotto,2018,772.0
rafal majka,2018,770.0
sam oomen,2018,763.9
silvan dillier,2018,758.3
valentin madouas,2018,757.0
andre greipel,2018,744.0
marco canola,2018,724.0
jens debusschere,2018,692.0
toms skujins,2018,690.0
jelle vanendert,2018,686.4
nathan haas,2018,682.7
lilian calmejane,2018,680.0
jan tratnik,2018,677.7
kenny dehaes,2018,673.0
guillaume martin,2018,665.0
soren kragh andersen,2018,659.1
ruben guerreiro,2018,654.3
felix grossschartner,2018,652.829999923706
giovanni visconti,2018,649.0
pello bilbao,2018,649.0
mathieu van der poel,2018,647.0
tejay van garderen,2018,642.5699996948242
alvaro jose hodeg,2018,633.9
daniel felipe martinez,2018,629.0
sean de bie,2018,628.0
xandro meurisse,2018,624.0
anthony roux,2018,619.0
davide ballerini,2018,615.0
florian senechal,2018,615.0
magnus cort nielsen,2018,615.0
sergei chernetski,2018,609.0
tadej pogacar,2018,609.0
arthur vichot,2018,602.0
benjamin dyball,2018,593.0
marc hirschi,2018,590.0
manuel belletti,2018,588.0
fernando gaviria,2018,587.2
jean pierre drucker,2018,584.0
artem ovechkin,2018,581.0
jonathan hivert,2018,579.0
ivan ramiro sosa,2018,574.0
rudy molard,2018,572.0
sergio luis henao,2018,571.0
tony gallopin,2018,571.0
taco van der hoorn,2018,569.0
alexis vuillermoz,2018,568.0
jay mccarthy,2018,563.0
francesco gavazzi,2018,560.0
dries devenyns,2018,558.1
carlos barbero,2018,556.0
jesus herrada lopez,2018,547.0
ben hermans,2018,543.0
alexandre geniez,2018,542.329999923706
nils politt,2018,541.5
julien simon,2018,540.0
giacomo nizzolo,2018,536.4
serghei tvetcov,2018,535.0
aksel nommela,2018,520.0
wout poels,2018,519.2
jasper philipsen,2018,514.0
pieter serry,2018,513.0
david de la cruz,2018,500.0
ilnur zakarin,2018,500.0
juan sebastian molano,2018,499.0
amanuel ghebreigzabhier,2018,497.5
fumiyuki beppu,2018,492.4
jerome baugnies,2018,490.0
robert power,2018,486.0
nacer bouhanni,2018,483.0
sylvain chavanel,2018,481.0
alexander krieger,2018,480.0
robert gesink,2018,477.7
mathias frank,2018,473.0
rein taaramae,2018,473.0
mike teunissen,2018,471.0
bjorg lambrecht,2018,470.17000007629395
tom jelte slagter,2018,467.0
