rider_name,year,uci_points
wout van aert,2021,4217.0
tadej pogacar,2021,4133.0
primoz roglic,2021,2915.0
julian alaphilippe,2021,2299.7
sonny colbrelli,2021,2040.0
mathieu van der poel,2021,1991.0
matej mohoric,2021,1897.0
joao almeida,2021,1866.0
jasper philipsen,2021,1742.0
tim merlier,2021,1685.0
jasper stuyven,2021,1651.0
maximilian schachmann,2021,1604.0
kasper asgreen,2021,1553.0
giacomo nizzolo,2021,1457.0
bauke mollema,2021,1419.3
mikkel honore,2021,1419.3
remco evenepoel,2021,1419.0
alejandro valverde,2021,1384.0
stefan kung,2021,1302.0
florian senechal,2021,1288.0
matteo trentin,2021,1262.0
dylan van baarle,2021,1235.0
ethan hayter,2021,1125.3
thomas pidcock,2021,1065.0
christophe laporte,2021,1035.0
michael matthews,2021,1032.0
aleksey lutsenko,2021,1012.0
benoit cosnefroy,2021,1001.0
adam yates,2021,995.0
pascal ackermann,2021,974.0
mark cavendish,2021,937.3
david gaudu,2021,930.0
greg van avermaet,2021,921.0
michael valgren andersen,2021,902.0
danny van poppel,2021,883.0
peter sagan,2021,867.0
rigoberto uran,2021,864.0
yves lampaert,2021,855.0
egan bernal,2021,775.0
caleb ewan,2021,766.0
alexander kristoff,2021,760.0
mads pedersen,2021,746.0
tosh van der sande,2021,746.0
ryan gibbons,2021,730.6
tiesj benoot,2021,729.0
nils politt,2021,722.0
sam bennett,2021,720.0
arnaud demare,2021,714.0
johan esteban chaves,2021,703.0
michal kwiatkowski,2021,702.3
alex aranburu,2021,702.0
miguel angel lopez,2021,694.0
marc hirschi,2021,689.0
connor swift,2021,679.0
neilson powless,2021,673.0
anthony turgis,2021,670.0
ide schelling,2021,663.0
gianni vermeersch,2021,644.0
michael woods,2021,630.0
sep vanmarcke,2021,625.0
rasmus tiller,2021,612.0
jordi meeus,2021,592.0
john degenkolb,2021,589.0
dylan teuns,2021,578.0
victor campenaerts,2021,559.3
jonas vingegaard rasmussen,2021,551.0
magnus cort nielsen,2021,543.0
valentin madouas,2021,533.0
filippo ganna,2021,504.3
mike teunissen,2021,503.0
davide ballerini,2021,501.7
bram welten,2021,488.0
luca mozzato,2021,486.0
odd christian eiking,2021,485.0
mauri vansevenant,2021,482.6
gianni moscon,2021,476.0
timothy dupont,2021,461.0
zdenek stybar,2021,460.0
ion izagirre,2021,458.0
