rider_name,year,uci_points
andre greipel,2019,356.0
nikolay cherkasov,2019,354.0
jan barta,2019,351.7099999785423
edvald boasson hagen,2019,345.7
ruben guerreiro,2019,345.0
simone consonni,2019,345.0
matthias brandle,2019,341.8
rasmus quaade,2019,341.3599998950958
chris hamilton,2019,338.0
nariyuki masuda,2019,334.2
edgar pinto,2019,334.0
andreas leknessund,2019,332.0
christofer robin jurado,2019,331.0
vitaliy buts,2019,331.0
eduard michael grosu,2019,330.0
azzedine lagab,2019,329.0
reinardt janse van rensburg,2019,329.0
ariel maximiliano richeze,2019,328.9
nelson oliveira,2019,328.0
rudy barbier,2019,327.8299999833107
alex aranburu,2019,324.3
edwin avila,2019,324.0
joe dombrowski,2019,324.0
brandon mcnulty,2019,322.0
marc soler,2019,322.0
tobias foss,2019,321.5
lorrenzo manzin,2019,320.2
elie gesbert,2019,320.0
edoardo affini,2019,319.2
alexis gougeard,2019,319.0
samuele battistella,2019,318.0
luke rowe,2019,316.2
alo jakin,2019,315.0
johan esteban chaves,2019,315.0
winner anacona,2019,315.0
mekseb debesay,2019,312.5
pawel franczak,2019,312.0
lawrence naesen,2019,308.2
antwan tolhoek,2019,307.14000034332275
sebastian langeveld,2019,307.0
thomas de gendt,2019,306.0
jeroen meijers,2019,304.0
owain doull,2019,302.0
tobias ludvigsson,2019,302.0
neilson powless,2019,301.0
maurits lammertink,2019,300.0
jose joaquin rojas,2019,299.0
romain hardy,2019,299.0
natnael berhane,2019,298.0
thomas lebas,2019,298.0
jonas vingegaard rasmussen,2019,297.6
bas van der kooij,2019,296.0
marko kump,2019,296.0
giovanni aleotti,2019,294.2
kevin geniets,2019,294.0
alexis vuillermoz,2019,293.0
marcel kittel,2019,293.0
oscar riesebeek,2019,293.0
sebastien reichenbach,2019,293.0
daniel munoz,2019,292.0
kevin rivera,2019,291.0
roy jans,2019,291.0
joao rodrigues,2019,289.0
artem ovechkin,2019,286.0
bram welten,2019,286.0
edvaldas siskevicius,2019,286.0
serghei tvetcov,2019,285.0
clement champoussin,2019,284.4
jasha sutterlin,2019,284.3
soren kragh andersen,2019,284.1
fabian lienhard,2019,284.0
paolo toto,2019,283.0
davide gabburo,2019,281.0
rory townsend,2019,281.0
remi cavagna,2019,280.0
pierre barbier,2019,279.0
polychronis tzortzakis,2019,278.0
simon pellaud,2019,277.0
jannik steimle,2019,276.0
jimmy janssens,2019,276.0
lukas postlberger,2019,276.0
tanel kangert,2019,276.0
emiel vermeulen,2019,275.0
nicola bagioli,2019,275.0
rudiger selig,2019,275.0
sepp kuss,2019,274.0
jens debusschere,2019,273.6
alex dowsett,2019,270.6200000047684
kevin le cunff,2019,270.0
aksel nommela,2019,269.0
marco haller,2019,267.6
jonathan lastra,2019,267.0
jelle vanendert,2019,266.0
manuel rodas,2019,265.0
alessandro de marchi,2019,264.0
sirak tesfom,2019,263.5
lawson craddock,2019,262.8
thomas pidcock,2019,262.0
clement russo,2019,261.0
gianluca brambilla,2019,260.0
hermann pernsteiner,2019,260.0
robinson chalapud,2019,259.8599998950958
chun kai feng,2019,258.0
radoslav rogina,2019,258.0
andreas kron,2019,255.1
choon huat goh,2019,254.0
jefferson cepeda hernandez,2019,253.0
marco tizza,2019,253.0
metkel eyob,2019,253.0
keegan swirbul,2019,252.0
dion smith,2019,250.6
michael van staeyen,2019,250.0
stanislaw aniolkowski,2019,250.0
vadim pronskiy,2019,250.0
dimitri claeys,2019,249.0
savva novikov,2019,249.0
stefan de bod,2019,248.7
nicolas edet,2019,247.0
patrick muller,2019,246.17000000178814
xandro meurisse,2019,246.0
santiago montenegro,2019,244.0
jonas van genechten,2019,243.0
norman vahtra,2019,243.0
patrick schelling,2019,243.0
pieter weening,2019,243.0
carlos quintero,2019,242.4299999475479
alexander kamp,2019,242.0
mohammad ganjkhanlou,2019,242.0
jonathan klever caicedo,2019,240.0
branislau samoilau,2019,238.0
marcos garcia,2019,235.0
nils eekhoff,2019,235.0
frantisek sisr,2019,233.70999997854233
alois kankovsky,2019,233.0
ben swift,2019,233.0
jelle wallays,2019,232.9
karel hnik,2019,232.7
andreas stokbro,2019,232.1
szymon sajnok,2019,230.8
damien howson,2019,230.56999969482422
