rider_name,year,uci_points
peter sagan,2016,5131.0
greg van avermaet,2016,3626.2
christopher froome,2016,3426.0
nairo quintana,2016,3228.25
alejandro valverde,2016,2866.0
romain bardet,2016,2552.0
diego ulissi,2016,2412.0
alexander kristoff,2016,2400.0
alberto contador,2016,2369.0
johan esteban chaves,2016,2149.0
ion izagirre,2016,1925.0
michael matthews,2016,1909.0
fabian cancellara,2016,1889.0
richie porte,2016,1863.0
sonny colbrelli,2016,1827.0
giacomo nizzolo,2016,1770.0
julian alaphilippe,2016,1716.0
bryan coquard,2016,1678.0
mark cavendish,2016,1639.0
baptiste planckaert,2016,1604.0
nacer bouhanni,2016,1599.0
vincenzo nibali,2016,1591.8
tom boonen,2016,1559.0
arnaud demare,2016,1500.8
thibaut pinot,2016,1500.5
rui costa,2016,1459.0
tom dumoulin,2016,1442.0
edvald boasson hagen,2016,1440.0
dan martin,2016,1422.0
timothy dupont,2016,1422.0
dylan groenewegen,2016,1377.0
sep vanmarcke,2016,1320.0
bauke mollema,2016,1296.0
joaquim rodriguez,2016,1290.0
ilnur zakarin,2016,1289.0
andre greipel,2016,1264.0
marcel kittel,2016,1237.0
sergio luis henao,2016,1216.0
tony gallopin,2016,1181.0
samuel dumoulin,2016,1174.0
fernando gaviria,2016,1138.7
rafal majka,2016,1124.0
rigoberto uran,2016,1112.0
wout poels,2016,1102.0
gianluca brambilla,2016,1084.2
petr vakoc,2016,1076.0
alberto bettiol,2016,1058.0
jakob fuglsang,2016,1039.0
oliver naesen,2016,1022.0
miguel angel lopez,2016,1016.8
enrico gasparotto,2016,1003.0
niki terpstra,2016,998.8
adam yates,2016,998.0
geraint thomas,2016,991.0
francesco gavazzi,2016,987.0
giovanni visconti,2016,975.5
bob jungels,2016,971.2
zdenek stybar,2016,954.2
tim wellens,2016,926.0
fabio aru,2016,913.0
tiesj benoot,2016,894.0
simon yates,2016,885.0
warren barguil,2016,883.0
andrew talansky,2016,865.0
philippe gilbert,2016,846.4
simon gerrans,2016,837.0
jarlinson pantano,2016,831.0
diego rosa,2016,830.0
michal kwiatkowski,2016,828.0
michael valgren andersen,2016,816.0
dries devenyns,2016,814.0
john degenkolb,2016,796.0
tanel kangert,2016,793.0
matteo trentin,2016,790.2
wilco kelderman,2016,781.0
jurgen roelandts,2016,779.0
ben swift,2016,754.0
kenny dehaes,2016,750.0
rohan dennis,2016,740.25
samuel sanchez,2016,739.4000000953674
daniel moreno,2016,727.25
roman kreuziger,2016,725.0
tejay van garderen,2016,701.4000000953674
sebastien reichenbach,2016,700.5
