model,RMSE,MAE,MAPE,PredInRange
NGBoost Training set,26.068051429555705,20.527104316465433,0.5670178223154945,477.5212642771302
NGBoost Validation set,101.63518294955976,75.37789208072488,2.084685777898703,168.7712125805113
NGBoost Test set,113.88104355374591,85.02083812338547,2.3984206781887702,186.6559190610001
