model,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
Random Forest Training set,0.17271179689825358,0.9949995970727449,0.9950278423492637,0.005000402927255137,0.994999597072745,0.9950557620678535,0.994999597072745,0.9999631372516223
Random Forest Validation set,1.9896297512961796,0.8565463764736833,0.6875479269669382,0.057604813963760645,0.9423951860362396,0.9499527967457729,0.9423951860362396,0.7064503015525226
Random Forest Test set,2.0105917384077814,0.8337303285390998,0.6645934460287348,0.058211802095921805,0.9417881979040782,0.9458252304564646,0.9417881979040782,0.7149713330363958
