model,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
XGBoost Training set,0.8740773134035987,0.9746932625819688,0.9749320443409946,0.02530673741803136,0.9746932625819688,0.9748838836931704,0.9746932625819688,0.994983797996346
XGBoost Validation set,2.7146423921227023,0.8556642971880944,0.6207254102378198,0.0785955480761067,0.9214044519238933,0.941805403324739,0.9214044519238933,0.6623502707149581
XGBoost Test set,2.8555851232066796,0.8108388645890471,0.5770562010699167,0.08267634365755043,0.9173236563424496,0.9323526361846906,0.9173236563424496,0.6438316712592751
