model,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
CatBoost Training set,0.007675445178148866,0.9997777777777778,0.9997782213351075,0.0002222222222222222,0.9997777777777778,0.999778501506529,0.9997777777777778,0.9999958411494064
CatBoost Validation set,1.2450918236021224,0.9019698917008846,0.7911629173474874,0.03604859199921665,0.9639514080007835,0.9665979214169199,0.9639514080007835,0.8582311769083536
CatBoost Test set,1.62995675711295,0.878724956017924,0.7362369101047193,0.04719138492847097,0.9528086150715293,0.9575685077318176,0.9528086150715293,0.8271487247641925
