rider_name,year,Number_of_participated_one_day_races,Number_of_participated_multi_day_races,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,age,career year,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,in_top20_next_year
alberto-contador,2007,5,76,0.023255814,0.069767442,0.093023256,0.162790698,0.0625,0.108552632,0.177631579,0.276315789,0,0.2,0.2,0.2,0.131578947,0.197368421,0.263157895,0.407894737,74,6,589,1601,25,6,0,0.037699586,0.1,0.1,-0.066666667,0.059358368,0.05854524,0.097205795,1
alberto-contador,2008,7,73,0.02,0.08,0.12,0.18,0.076923077,0.137931034,0.206896552,0.312997347,0,0.142857143,0.285714286,0.285714286,0.136986301,0.260273973,0.328767123,0.465753425,6,2,1601,2113,26,7,0,0.044683627,0.071428571,0.05952381,-0.023809524,0.058708415,0.045335943,0.042400522,1
alberto-contador,2009,1,64,0.039215686,0.098039216,0.137254902,0.196078431,0.090702948,0.16553288,0.231292517,0.340136054,1,1,1,1,0.171875,0.328125,0.375,0.5,2,2,2113,1926,27,8,0.5,0.020148026,0.4,0.4,0.4,0.065378289,0.055921053,0.046052632,0
alberto-contador,2010,2,58,0.037735849,0.113207547,0.150943396,0.226415094,0.096192385,0.170340681,0.23246493,0.340681363,0,0.5,0.5,1,0.137931034,0.206896552,0.24137931,0.344827586,2,22,1926,1076,28,9,0,0.000472367,0.178571429,0.107142857,0.357142857,-0.02668871,-0.043693906,-0.060462919,0
alberto-contador,2012,4,42,0.05,0.116666667,0.15,0.25,0.083333333,0.153594771,0.210784314,0.31372549,0.25,0.25,0.25,0.75,0.047619048,0.166666667,0.261904762,0.380952381,542,18,100,1170,30,11,0.125,-0.045155993,-0.125,-0.125,-0.125,-0.020114943,0.010262726,0.018062397,1
alberto-contador,2013,13,71,0.04109589,0.109589041,0.150684932,0.232876712,0.077598829,0.1522694,0.213762811,0.32942899,0,0.076923077,0.153846154,0.153846154,0.028169014,0.14084507,0.23943662,0.464788732,18,17,1170,1248,31,12,0,0.007042254,0.038461538,0.076923077,0.076923077,0.056338028,0.105633803,0.190140845,1
alberto-contador,2014,2,81,0.04,0.106666667,0.146666667,0.24,0.081151832,0.171465969,0.238219895,0.353403141,0,0,0,0.5,0.111111111,0.333333333,0.444444444,0.555555556,17,2,1248,2170,32,13,-0.125,0.031746032,-0.125,-0.125,-0.125,0.083333333,0.091269841,0.087301587,1
alberto-contador,2015,0,83,0.04,0.106666667,0.146666667,0.24,0.077922078,0.171192444,0.243211334,0.362455726,0,0,0,0,0.048192771,0.168674699,0.289156627,0.445783133,2,10,2170,1546,33,14,0,0.010011878,-0.038461538,-0.076923077,-0.076923077,0.013914814,0.024860003,-0.0095028,1
alberto-contador,2016,1,94,0.039473684,0.105263158,0.144736842,0.236842105,0.075451647,0.173219979,0.247608927,0.368756642,0,0,0,0,0.053191489,0.191489362,0.287234043,0.425531915,10,8,1546,1595,34,15,,-0.028959811,,,,-0.070921986,-0.078605201,-0.06501182,1
alberto-contador,2017,0,101,0.039473684,0.105263158,0.144736842,0.236842105,0.069097889,0.171785029,0.245681382,0.372360845,0,0,0,0,0.00990099,0.158415842,0.227722772,0.405940594,8,9,1595,1657,35,16,,-0.01914589,,,,-0.005129429,-0.030716927,-0.019921269,0
alejandro-valverde,2007,15,63,0.095744681,0.276595745,0.329787234,0.478723404,0.105121294,0.245283019,0.336927224,0.469002695,0,0.466666667,0.466666667,0.533333333,0.079365079,0.253968254,0.349206349,0.476190476,2,2,2279,1899,27,10,-0.058823529,-0.014665286,0.115686275,0.08627451,0.031372549,0.02915804,0.076777088,0.107660455,1
alejandro-valverde,2008,17,71,0.117117117,0.297297297,0.342342342,0.468468468,0.108597285,0.246606335,0.339366516,0.472850679,0.235294118,0.411764706,0.411764706,0.411764706,0.126760563,0.253521127,0.352112676,0.492957746,2,1,1899,2589,28,11,0.046218487,0.023697742,0.098739496,0.06302521,-0.008403361,-0.031969595,-0.02235636,-0.039235412,1
alejandro-valverde,2009,11,71,0.114754098,0.286885246,0.327868852,0.459016393,0.107212476,0.255360624,0.354775828,0.479532164,0.090909091,0.181818182,0.181818182,0.363636364,0.098591549,0.309859155,0.450704225,0.521126761,1,1,2589,2054,29,12,0.045454545,0.009613235,-0.142424242,-0.142424242,-0.084848485,0.02794545,0.050748938,0.022468142,0
alejandro-valverde,2012,9,90,0.102189781,0.270072993,0.306569343,0.423357664,0.10172144,0.237871674,0.327073552,0.44600939,0,0,0,0,0,0,0,0,0,3,0,2118,32,15,,,,,,,,,1
alejandro-valverde,2013,17,78,0.097402597,0.285714286,0.331168831,0.454545455,0.09762901,0.231520223,0.320781032,0.447698745,0,0,0,0,0,0,0,0,3,2,2118,2500,33,16,,,,,,,,,1
alejandro-valverde,2014,17,77,0.122807018,0.321637427,0.368421053,0.479532164,0.09697733,0.238035264,0.326196474,0.457178841,0.352941176,0.647058824,0.705882353,0.705882353,0.090909091,0.298701299,0.376623377,0.545454545,2,1,2500,2959,34,17,0.176470588,-0.01010101,0.212418301,0.241830065,0.241830065,0.032683983,0.038311688,0.056060606,1
alejandro-valverde,2015,15,91,0.134408602,0.338709677,0.397849462,0.505376344,0.092655367,0.231638418,0.317514124,0.454237288,0.266666667,0.533333333,0.733333333,0.8,0.054945055,0.175824176,0.241758242,0.428571429,1,1,2959,3022,35,18,0.103921569,-0.004578755,0.060784314,0.101960784,0.047058824,-0.001831502,-0.013736264,-0.016483516,1
alejandro-valverde,2016,15,95,0.129353234,0.333333333,0.402985075,0.517412935,0.090816327,0.228571429,0.310204082,0.452040816,0.066666667,0.266666667,0.466666667,0.666666667,0.073684211,0.2,0.242105263,0.431578947,1,4,3022,2173,36,19,-0.143137255,-0.00861244,-0.190196078,-0.119607843,-0.019607843,-0.049350649,-0.067259057,-0.056937799,1
alejandro-valverde,2017,9,38,0.138095238,0.342857143,0.40952381,0.523809524,0.098231827,0.237721022,0.31827112,0.461689587,0.333333333,0.555555556,0.555555556,0.666666667,0.289473684,0.473684211,0.526315789,0.710526316,4,8,2173,1717,37,20,0.033333333,0.117264315,0.011111111,-0.088888889,-0.066666667,0.148930017,0.142278774,0.140977444,1
alejandro-valverde,2018,17,78,0.136563877,0.352422907,0.431718062,0.537444934,0.104927007,0.240875912,0.318430657,0.459854015,0.117647059,0.470588235,0.705882353,0.705882353,0.192307692,0.282051282,0.320512821,0.435897436,8,1,1717,2915,38,21,0.025490196,0.059311741,0.101960784,0.119607843,0.019607843,0.041025641,0.039203779,0.002159244,1
alejandro-valverde,2019,17,86,0.131147541,0.348360656,0.430327869,0.545081967,0.100676819,0.239424704,0.320642978,0.46108291,0.058823529,0.294117647,0.411764706,0.647058824,0.046511628,0.220930233,0.348837209,0.476744186,1,2,2915,2291,39,22,-0.137254902,-0.121481028,-0.130718954,-0.071895425,-0.009803922,-0.126376989,-0.08873929,-0.116891065,0
alejandro-valverde,2020,4,79,0.129032258,0.346774194,0.427419355,0.548387097,0.094369548,0.226804124,0.306106265,0.44409199,0,0.25,0.25,0.75,0,0.037974684,0.088607595,0.189873418,2,22,2291,842,40,23,-0.058823529,-0.096153846,-0.110294118,-0.227941176,0.022058824,-0.122038299,-0.115952613,-0.123012009,1
aleksandr-vlasov,2018,8,80,0,0.024390244,0.048780488,0.195121951,0.029585799,0.094674556,0.189349112,0.343195266,0,0,0,0.125,0.0375,0.1125,0.25,0.3875,2035,414,6,153,22,4,0,0.01875,0,0,-0.048611111,0.05625,0.091666667,0.127083333,0
aleksandr-vlasov,2019,13,71,0.018518519,0.037037037,0.055555556,0.203703704,0.029166667,0.120833333,0.233333333,0.408333333,0.076923077,0.076923077,0.076923077,0.230769231,0.028169014,0.183098592,0.338028169,0.563380282,414,119,153,514,23,5,0.038461538,0.014084507,0.038461538,-0.011538462,-0.034615385,0.091549296,0.150495566,0.226134585,1
aleksandr-vlasov,2020,4,52,0.051724138,0.086206897,0.120689655,0.25862069,0.034246575,0.133561644,0.256849315,0.417808219,0.5,0.75,1,1,0.057692308,0.192307692,0.365384615,0.461538462,119,13,514,1023,24,6,0.25,0.010096154,0.375,0.5,0.4375,0.039903846,0.057692308,0.037019231,0
aleksey-lutsenko,2012,11,66,0.052631579,0.210526316,0.263157895,0.315789474,0.028985507,0.152173913,0.210144928,0.326086957,0.090909091,0.363636364,0.454545455,0.454545455,0.045454545,0.257575758,0.363636364,0.545454545,2448,332,2,183,20,3,0.045454545,0,0.181818182,0.227272727,0.227272727,0.083333333,0.136363636,0.181818182,0
aleksey-lutsenko,2014,9,72,0.046511628,0.11627907,0.139534884,0.162790698,0.02247191,0.093632959,0.138576779,0.217228464,0.111111111,0.111111111,0.111111111,0.111111111,0.027777778,0.055555556,0.097222222,0.138888889,709,199,67,290,22,5,0.01010101,-0.008838384,-0.126262626,-0.171717172,-0.171717172,-0.101010101,-0.133207071,-0.203282828,0
aleksey-lutsenko,2015,15,62,0.068965517,0.120689655,0.137931034,0.155172414,0.021276596,0.082066869,0.121580547,0.200607903,0.133333333,0.133333333,0.133333333,0.133333333,0.016129032,0.032258065,0.048387097,0.129032258,199,184,290,324,23,6,0.066666667,0.008064516,0.066666667,0.066666667,0.066666667,0.016129032,0.015421619,0.03820034,0
aleksey-lutsenko,2016,13,82,0.070422535,0.112676056,0.126760563,0.14084507,0.0243309,0.085158151,0.124087591,0.204379562,0.076923077,0.076923077,0.076923077,0.076923077,0.036585366,0.097560976,0.134146341,0.219512195,184,91,324,548,24,7,-0.017094017,0.004403794,-0.017094017,-0.017094017,-0.017094017,0.02100271,0.01846206,0.040311653,0
aleksey-lutsenko,2017,10,92,0.061728395,0.111111111,0.12345679,0.148148148,0.029821074,0.083499006,0.115308151,0.188866799,0,0.1,0.1,0.2,0.054347826,0.076086957,0.076086957,0.119565217,91,87,548,581,25,8,-0.066666667,0.019109397,-0.016666667,-0.016666667,0.033333333,0.021914446,0.01384993,-0.00473352,0
aleksey-lutsenko,2018,15,70,0.083333333,0.125,0.145833333,0.166666667,0.031413613,0.092495637,0.12565445,0.197207679,0.2,0.2,0.266666667,0.266666667,0.042857143,0.157142857,0.2,0.257142857,87,75,581,713,26,9,0.061538462,0.003135889,0.061538462,0.094871795,0.094871795,0.029790941,0.032926829,0.018815331,0
aleksey-lutsenko,2019,14,73,0.109090909,0.154545455,0.181818182,0.209090909,0.041795666,0.100619195,0.13622291,0.216718266,0.285714286,0.357142857,0.428571429,0.5,0.123287671,0.164383562,0.219178082,0.369863014,75,22,713,1287,27,10,0.142857143,0.034469923,0.128571429,0.164285714,0.15,0.044148303,0.071545563,0.125148898,0
aleksey-lutsenko,2020,4,46,0.105263158,0.149122807,0.175438596,0.201754386,0.041907514,0.105491329,0.141618497,0.221098266,0,0,0,0,0.043478261,0.173913043,0.217391304,0.282608696,22,64,1287,496,28,11,-0.1,0.000310559,-0.1,-0.133333333,-0.133333333,0.008385093,0.008695652,0.012732919,0
alessandro-ballan,2007,20,78,0.046511628,0.11627907,0.174418605,0.23255814,0.016326531,0.06122449,0.12244898,0.204081633,0.1,0.1,0.15,0.3,0.025641026,0.038461538,0.102564103,0.141025641,15,22,1229,1082,28,6,0.05,-0.005361305,0.025,0.05,0.1,-0.017132867,0.005827506,0.015967366,1
alessandro-ballan,2008,19,80,0.047619048,0.133333333,0.2,0.266666667,0.015384615,0.055384615,0.107692308,0.184615385,0.052631579,0.210526316,0.315789474,0.421052632,0.0125,0.0375,0.0625,0.125,22,10,1082,1358,29,7,0,0.00625,0.026315789,0,0.026315789,-0.001797945,-0.030393836,-0.074486301,0
alessandro-ballan,2009,13,76,0.042372881,0.118644068,0.186440678,0.245762712,0.017456359,0.057356608,0.104738155,0.179551122,0,0,0.076923077,0.076923077,0.026315789,0.065789474,0.092105263,0.157894737,10,77,1358,563,30,8,-0.05,0.000337382,-0.05,-0.036538462,-0.111538462,0.013663968,-0.00522942,0.008434548,0
alessandro-ballan,2010,18,74,0.036764706,0.110294118,0.169117647,0.235294118,0.014736842,0.052631579,0.094736842,0.164210526,0,0.055555556,0.055555556,0.166666667,0,0.027027027,0.040540541,0.081081081,77,124,563,400,31,9,-0.026315789,-0.00625,-0.07748538,-0.130116959,-0.127192982,-0.005236486,-0.01097973,-0.021959459,0
alessandro-ballan,2011,15,53,0.033112583,0.105960265,0.165562914,0.245033113,0.013257576,0.049242424,0.087121212,0.15719697,0,0.066666667,0.133333333,0.333333333,0,0.018867925,0.018867925,0.094339623,124,119,400,435,32,10,0,-0.013157895,0.033333333,0.028205128,0.128205128,-0.023460775,-0.036618669,-0.031777557,0
alessandro-ballan,2012,13,91,0.036585366,0.115853659,0.176829268,0.262195122,0.01453958,0.046849758,0.080775444,0.142164782,0.076923077,0.230769231,0.307692308,0.461538462,0.021978022,0.032967033,0.043956044,0.054945055,119,50,435,777,33,11,0.038461538,0.010989011,0.087606838,0.126068376,0.147435897,0.002970003,0.001707752,-0.013068013,0
alessandro-bertolini,2007,26,24,0.061643836,0.116438356,0.136986301,0.260273973,0.015267176,0.040076336,0.061068702,0.089694656,0.153846154,0.307692308,0.307692308,0.423076923,0.041666667,0.083333333,0.166666667,0.166666667,278,41,207,763,36,12,0.049145299,0.020833333,0.126068376,0.126068376,0.128205128,0.041666667,0.083333333,0.083333333,0
alessandro-bertolini,2008,8,45,0.064935065,0.116883117,0.136363636,0.272727273,0.015817223,0.038664323,0.059753954,0.089630931,0.125,0.125,0.125,0.5,0.022222222,0.022222222,0.044444444,0.088888889,41,215,763,284,37,13,0.04076087,-0.002777778,-0.002717391,-0.024456522,0.119565217,-0.002777778,-0.019444444,0.002777778,0
