rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_benelux_tour,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,RankY1,RankY2,RankY3,RankY4,RankY5,actual_rank
davide-formolo,2016,7,86,0.0,0.1166666666666666,0.15,0.3,0.0069204152249134,0.0415224913494809,0.0934256055363321,0.2249134948096885,0.0,0.0,0.0,0.1428571428571428,0.0,0.0232558139534883,0.0465116279069767,0.1395348837209302,198,117,309.0,440.0,138.66666666666666,411.0,24,8,18.717546190073666,0.0,0.0,-0.0666666666666666,-0.0666666666666666,-0.0952380952380952,0.0034311856652687,-0.0177277926038886,-0.053183377811666,0.0,0.1,0.1,0.2333333333333333,0.0087336244541484,0.0262008733624454,0.0655021834061135,0.1746724890829694,60,289,30,229,52.00320502943384,91.03296106356204,0.0,0.0746907203319375,0.0746907203319375,0.1154720994202496,0.0140817138826737,0.0102671227541467,0.0184625044482714,0.0567268367175633,,31.0,9.0,,,47.0,15.0,,,,,4.0,,,,,,,,,,,,,57.0,,,,,253,57,70,104,145,253.0
davide-formolo,2017,9,69,0.0,0.1014492753623188,0.1304347826086956,0.2608695652173913,0.0055865921787709,0.0363128491620111,0.0865921787709497,0.2150837988826815,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0579710144927536,0.1739130434782608,117,253,440.0,256.0,189.33333333333331,335.0,25,9,18.717546190073666,0.0,-0.0121951219512195,-0.0625,-0.0625,-0.0625,-0.011046306115235,-0.0075998586072817,0.0076882290562036,0.0,0.0416666666666666,0.0416666666666666,0.0833333333333333,0.0084388185654008,0.0253164556962025,0.0590717299578059,0.1561181434599156,69,358,24,237,68.41296173484476,94.71536306217698,0.0,0.0721687836487032,0.0721687836487032,0.0778374811346548,0.0140817138826737,0.0111246849796426,0.013373211779289,0.0172209078244336,,10.0,,,,,12.0,,,,,,,,,,23.0,,,,,,,,,,,,,57,70,104,145,239,57.0
davide-rebellin,2011,13,33,0.1010452961672473,0.3414634146341463,0.4529616724738676,0.6062717770034843,0.0293083235638921,0.1277842907385697,0.2157092614302461,0.3821805392731536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,0.0,804.0,83.0,1565.0,40,17,21.545090797168363,,,,,,,,,0.15,0.5,0.55,0.65,0.0357142857142857,0.2321428571428571,0.3392857142857143,0.5178571428571429,287,853,20,56,23.96525262402492,452.28788767037895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,77,49,82,198,253.0
davide-rebellin,2012,7,27,0.0986394557823129,0.336734693877551,0.4523809523809524,0.6054421768707483,0.0318181818181818,0.1363636363636363,0.2238636363636363,0.3897727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,253,804.0,241.0,295.0,1045.0,41,18,21.545090797168363,,,,,,,,,0.1,0.4,0.55,0.7,0.05,0.2833333333333333,0.4166666666666667,0.5666666666666667,294,880,20,60,135.58146382648823,412.606753862965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,49,82,198,500,77.0
davide-rebellin,2013,14,70,0.0941558441558441,0.3246753246753247,0.4448051948051948,0.5941558441558441,0.0357894736842105,0.1389473684210526,0.2252631578947368,0.3926315789473684,0.0,0.0714285714285714,0.2857142857142857,0.3571428571428571,0.0857142857142857,0.1714285714285714,0.2428571428571428,0.4285714285714285,253,77,241.0,554.0,124.0,533.0,42,19,21.545090797168363,-0.0769230769230769,0.0428571428571428,-0.2335164835164835,-0.1648351648351648,-0.206043956043956,-0.0051948051948051,-0.0603896103896103,-0.0432900432900432,0.0588235294117647,0.2647058823529412,0.4411764705882353,0.5588235294117647,0.0692307692307692,0.2230769230769231,0.3230769230769231,0.4923076923076923,308,950,34,130,113.07961796893372,282.0868660537034,0.0888231183368655,0.2515699607575933,0.1653228439032492,0.2060988937748467,0.0582202950411806,0.1333444497882087,0.1193151757292902,0.1008511694688759,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,49,82,198,500,999,49.0
denis-menchov,2007,1,83,0.0612244897959183,0.0816326530612244,0.0816326530612244,0.0816326530612244,0.0356536502546689,0.1069609507640067,0.1477079796264855,0.230899830220713,0.0,0.0,0.0,0.0,0.0602409638554216,0.144578313253012,0.2409638554216867,0.2891566265060241,48,16,699.0,1264.0,27.666666666666668,994.0,29,13,20.061728395061728,0.0,0.0182157200229489,0.0,0.0,0.0,0.0246701090074584,0.0490533562822719,0.0314830751577739,0.0,0.0,0.0,0.0,0.0381355932203389,0.097457627118644,0.1525423728813559,0.2245762711864407,49,589,7,236,17.67295485574875,283.32843133014376,0.0,0.0,0.0,0.0,0.0197101674109088,0.0505548516622504,0.0915759809030725,0.0723077127946712,,,1.0,,,,3.0,,54.0,4.0,,,,,,,,,,,,,,,,,,,,23,28,104,43,205,23.0
denis-menchov,2008,5,75,0.0555555555555555,0.074074074074074,0.074074074074074,0.0925925925925925,0.0316265060240963,0.0963855421686747,0.1415662650602409,0.2364457831325301,0.0,0.0,0.0,0.2,0.0,0.0133333333333333,0.0933333333333333,0.28,16,23,1264.0,1030.0,29.0,997.6666666666666,30,14,20.061728395061728,0.0,-0.0144927536231884,0.0,0.0,0.1,-0.0150724637681159,0.0176811594202898,0.0675362318840579,0.0,0.0,0.0,0.1111111111111111,0.0308370044052863,0.0704845814977973,0.1365638766519823,0.2422907488986784,54,664,9,227,16.822603841260722,283.8843661305309,0.0,0.0,0.0,0.1154700538379251,0.0301276089448418,0.0687449173905693,0.0970666819572198,0.080757295603004,3.0,5.0,,,,,,,4.0,,,,,,,,93.0,,,,,,,,6.0,,,,,28,104,43,205,413,28.0
denis-menchov,2009,3,73,0.0526315789473684,0.0701754385964912,0.0701754385964912,0.087719298245614,0.0339213025780189,0.1017639077340569,0.1478968792401628,0.2388059701492537,0.0,0.0,0.0,0.0,0.0547945205479452,0.1506849315068493,0.2054794520547945,0.2602739726027397,23,28,1030.0,983.0,22.33333333333333,1092.3333333333333,31,15,20.061728395061728,0.0,-0.0027232216537382,0.0,0.0,0.0,0.0030533091269186,-0.0177422016834461,-0.0144413269516421,0.0,0.0,0.0,0.1111111111111111,0.0389610389610389,0.1038961038961039,0.1818181818181818,0.277056277056277,57,737,9,231,6.027713773341707,150.5135652801213,0.0,0.0,0.0,0.1154700538379251,0.0333193561187561,0.0775972476546193,0.0770613023060993,0.0147601245610439,51.0,1.0,,,,,,,11.0,,,,,,,,,,,,,,,,83.0,66.0,,,,104,43,205,413,999,104.0
diego-rosa,2015,7,72,0.0232558139534883,0.0465116279069767,0.1162790697674418,0.1627906976744186,0.0181818181818181,0.0545454545454545,0.0727272727272727,0.1363636363636363,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.0,0.0277777777777777,0.0416666666666666,0.125,514,98,110.0,499.0,329.3333333333333,252.33333333333331,26,4,20.515086478979924,0.0714285714285714,-0.0060240963855421,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.0018406961178045,-0.0032630522088353,0.0082831325301204,0.027027027027027,0.027027027027027,0.081081081081081,0.1081081081081081,0.005,0.035,0.055,0.12,43,220,37,200,211.8899085216975,214.46289500361905,0.0824786098842322,0.0824786098842322,0.2474358296526967,0.2343394247376965,0.006956027339634,0.0235871686969262,0.0255887420390205,0.0126746175659063,,23.0,20.0,,,,33.0,,,,,28.0,,,,,,5.0,5.0,,,,,57.0,,,,,,95,329,344,199,204,95.0
diego-rosa,2016,13,71,0.0178571428571428,0.0535714285714285,0.1071428571428571,0.1785714285714285,0.0206185567010309,0.0481099656357388,0.0652920962199312,0.134020618556701,0.0,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.028169014084507,0.028169014084507,0.0422535211267605,0.1267605633802817,98,95,499.0,530.0,235.66666666666663,379.6666666666667,27,5,20.515086478979924,0.0,0.0140845070422535,0.0384615384615384,0.0384615384615384,0.0903846153846153,-0.0192488262910798,-0.0233176838810641,-0.0032863849765258,0.025,0.05,0.1,0.175,0.0106382978723404,0.0372340425531914,0.0531914893617021,0.1276595744680851,56,291,40,188,241.04840454426025,234.05198852676585,0.0824786098842322,0.0714989791060188,0.2284904054762006,0.1893495668417241,0.0162633878644965,0.0223404267312149,0.0270959412583976,0.0043921394315331,37.0,,,,36.0,,,24.0,,8.0,,,,,,,10.0,2.0,,,,,20.0,22.0,,,,37.0,34.0,329,344,199,204,999,329.0
diego-ulissi,2010,18,47,0.125,0.21875,0.21875,0.3125,0.0654205607476635,0.1308411214953271,0.205607476635514,0.2710280373831775,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.1276595744680851,0.1489361702127659,1817,264,7.0,221.0,2081.0,228.0,21,5,20.571428571428573,,0.0,,,,0.0212765957446808,0.0638297872340425,0.0244680851063829,0.04,0.08,0.08,0.12,0.0,0.027027027027027,0.081081081081081,0.1351351351351351,32,107,25,74,981.7496286392644,125.62245022288016,0.0,0.0,0.0,0.0,0.0,0.0245680965612606,0.073704289683782,0.0247829777997653,,,,,,,,,,,62.0,11.0,,,,,,,,,,,,,,108.0,,70.0,58.0,115,86,23,47,64,115.0
diego-ulissi,2011,17,81,0.0816326530612244,0.1428571428571428,0.1428571428571428,0.2040816326530612,0.0638297872340425,0.1329787234042553,0.1968085106382978,0.2606382978723404,0.0,0.0,0.0,0.0,0.0617283950617283,0.1358024691358024,0.1851851851851851,0.2469135802469135,264,115,221.0,450.0,732.0,226.0,22,6,20.571428571428573,0.0,0.0308641975308641,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,0.0679012345679012,0.0925925925925925,0.064633260711692,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.0714285714285714,0.0344827586206896,0.0896551724137931,0.1448275862068965,0.2,49,188,42,145,942.5863355682598,221.5423210133901,0.0320750149549792,0.0720140613164878,0.0720140613164878,0.0750129464484541,0.0356389055055324,0.0694604353941794,0.094780198049504,0.0674393739213596,,41.0,,,19.0,,,,,,,83.0,,140.0,,,76.0,,,,,,,,,,,,,86,23,47,64,9,86.0
diego-ulissi,2012,18,65,0.0746268656716417,0.1343283582089552,0.1343283582089552,0.2238805970149253,0.0632411067193675,0.1225296442687747,0.1778656126482213,0.2411067193675889,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.0615384615384615,0.0923076923076923,0.123076923076923,0.1846153846153846,115,86,450.0,557.0,155.0,409.3333333333333,23,7,20.571428571428573,0.0,0.0307692307692307,0.0277777777777777,0.0277777777777777,0.0833333333333333,0.0248772504091653,-0.002291325695581,0.0178396072013093,0.0377358490566037,0.0566037735849056,0.0566037735849056,0.1320754716981132,0.0466321243523316,0.0984455958549222,0.1502590673575129,0.2020725388601036,67,253,53,193,95.50392662084631,171.65177928973918,0.0320750149549792,0.0555555555555555,0.0555555555555555,0.1398117488013101,0.0355842031435316,0.0466596430629856,0.0346112525157566,0.0495877074759658,,21.0,,,48.0,,,40.0,,,,,,,,,78.0,41.0,,,,,9.0,,10.0,79.0,60.0,6.0,67.0,23,47,64,9,16,23.0
diego-ulissi,2013,18,86,0.0941176470588235,0.1647058823529411,0.1764705882352941,0.2470588235294117,0.0589970501474926,0.1120943952802359,0.1710914454277286,0.2507374631268436,0.1666666666666666,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.0465116279069767,0.0813953488372093,0.1511627906976744,0.2790697674418604,86,23,557.0,1097.0,74.66666666666667,701.3333333333334,24,8,20.571428571428573,0.0833333333333333,-0.0076083835773758,0.1388888888888889,0.1666666666666666,0.1666666666666666,-0.0272035601492965,-0.0170111972437553,0.0160780935974734,0.0754716981132075,0.1320754716981132,0.1509433962264151,0.2075471698113207,0.0560344827586206,0.1034482758620689,0.1551724137931034,0.2413793103448276,85,339,53,232,47.03544762552317,346.8087849713922,0.0848625128695525,0.1398117488013101,0.1697250257391051,0.1785861252035732,0.0087310920123956,0.0287837036953507,0.0311013812897507,0.0480220712953796,,,32.0,,7.0,,,14.0,,,,29.0,,,,,20.0,28.0,,,,,13.0,25.0,,,,,,47,64,9,16,48,47.0
diego-ulissi,2014,13,48,0.0918367346938775,0.1632653061224489,0.1836734693877551,0.2448979591836734,0.0594315245478036,0.1240310077519379,0.1808785529715762,0.2558139534883721,0.0769230769230769,0.1538461538461538,0.2307692307692307,0.2307692307692307,0.0625,0.2083333333333333,0.25,0.2916666666666667,23,47,1097.0,752.0,52.0,802.0,25,9,20.571428571428573,0.0106837606837606,0.0004807692307692,0.0213675213675213,0.0598290598290598,-0.0235042735042735,0.0580128205128205,0.0634615384615384,0.053525641025641,0.1020408163265306,0.1836734693877551,0.2244897959183673,0.2857142857142857,0.0552763819095477,0.1155778894472361,0.1658291457286432,0.2512562814070351,98,387,49,199,31.796226191169293,273.4501782775063,0.0589578407024925,0.0865670347819857,0.1112206341649181,0.0513413711992595,0.0089662174055944,0.0703494616460885,0.066667180029236,0.0585096705597082,,,,3.0,,11.0,,,,,,,,,,,66.0,,21.0,,,,17.0,34.0,,,,,,64,9,16,48,24,64.0
diego-ulissi,2015,15,66,0.0884955752212389,0.168141592920354,0.1946902654867256,0.247787610619469,0.0529801324503311,0.1169977924944812,0.1743929359823399,0.2472406181015452,0.0666666666666666,0.2,0.2666666666666666,0.2666666666666666,0.0151515151515151,0.0757575757575757,0.1363636363636363,0.1969696969696969,47,64,752.0,644.0,44.66666666666666,831.0,26,10,20.571428571428573,-0.0499999999999999,-0.0156800563777307,-0.0388888888888888,-0.0333333333333333,-0.0333333333333333,-0.0028188865398167,-0.007399577167019,-0.0410500352360817,0.108695652173913,0.217391304347826,0.2826086956521739,0.2826086956521739,0.04,0.11,0.17,0.255,113,453,46,200,20.5993527406405,236.60726954174507,0.0550137950145439,0.0626346651106927,0.0520455977697036,0.0520455977697036,0.0240865236583565,0.0749681797942986,0.0617805687523327,0.0514240856528711,,64.0,,,,,,64.0,34.0,,,6.0,,,,,,74.0,,,,,50.0,49.0,,70.0,54.0,5.0,,9,16,48,24,5,9.0
diego-ulissi,2016,23,80,0.0808823529411764,0.1838235294117647,0.213235294117647,0.3088235294117647,0.0544090056285178,0.1200750469043152,0.1876172607879924,0.2551594746716698,0.0434782608695652,0.2608695652173913,0.3043478260869565,0.6086956521739131,0.0625,0.1375,0.2625,0.3,64,9,644.0,1543.0,40.0,979.6666666666666,27,11,20.571428571428573,-0.0167224080267558,0.0,0.0535117056856187,0.0367892976588628,0.1889632107023411,-0.0354166666666666,0.00625,0.0041666666666666,0.0588235294117647,0.2156862745098039,0.2745098039215686,0.4117647058823529,0.0463917525773195,0.134020618556701,0.2164948453608247,0.2628865979381443,136,533,51,194,28.16025568065745,490.84043571545055,0.0171340393934222,0.0536800584731491,0.0367929009642654,0.2086068202891411,0.0273366604729936,0.0663398065006079,0.0694980279958849,0.0572308248189576,,21.0,,11.0,,27.0,,42.0,,,,27.0,,58.0,,,55.0,22.0,7.0,,,,8.0,7.0,43.0,45.0,64.0,7.0,3.0,16,48,24,5,34,16.0
diego-ulissi,2017,18,85,0.0844155844155844,0.1883116883116883,0.2272727272727272,0.3246753246753247,0.0501618122977346,0.1116504854368932,0.174757281553398,0.2524271844660194,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.0235294117647058,0.0588235294117647,0.0941176470588235,0.2352941176470588,9,16,1543.0,1391.0,29.666666666666668,1192.6666666666667,28,12,20.571428571428573,0.0222222222222222,0.0041889483065953,0.0111111111111111,0.0333333333333333,0.0888888888888888,-0.0084670231729055,-0.0211229946524064,0.0191622103386809,0.0714285714285714,0.2321428571428571,0.3035714285714285,0.4642857142857143,0.0346320346320346,0.0909090909090909,0.1645021645021645,0.2467532467532467,154,618,56,231,29.93882651897588,481.1988500956058,0.0343686224076112,0.0308019162034721,0.0334277176657124,0.1710590660363208,0.02526781522185,0.0414102964273279,0.0876049110360013,0.0520750352437776,39.0,,,5.0,27.0,,,23.0,13.0,25.0,,,,40.0,,,30.0,21.0,,,,,10.0,27.0,30.0,32.0,53.0,11.0,1.0,48,24,5,34,53,48.0
dion-smith,2015,5,66,0.0,0.1153846153846153,0.1923076923076923,0.2692307692307692,0.0176470588235294,0.1058823529411764,0.1941176470588235,0.3941176470588235,0.0,0.0,0.2,0.4,0.0454545454545454,0.1969696969696969,0.3939393939393939,0.5909090909090909,716,407,68.0,156.0,945.6666666666666,77.66666666666667,22,6,20.91070815517618,0.0,0.0227272727272727,0.0,0.0545454545454545,0.109090909090909,0.0984848484848484,0.1969696969696969,0.2418831168831169,0.0,0.1304347826086956,0.217391304347826,0.3043478260869565,0.0206896551724137,0.1034482758620689,0.2,0.3931034482758621,26,170,23,145,683.097601615855,73.97522107661005,0.0,0.2474358296526967,0.1723182998025549,0.1349733289079765,0.0262431940540739,0.1042602988236112,0.2125053318420874,0.2439516694413098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,423,171,282,92,139.0
dion-smith,2016,20,81,0.0434782608695652,0.1304347826086956,0.217391304347826,0.3043478260869565,0.0159362549800796,0.0876494023904382,0.1752988047808765,0.3466135458167331,0.1,0.15,0.25,0.35,0.0123456790123456,0.0493827160493827,0.1358024691358024,0.2469135802469135,407,139,156.0,396.0,420.6666666666667,206.66666666666663,23,7,20.91070815517618,0.05,0.0061728395061728,-0.1392857142857143,-0.0892857142857142,-0.0392857142857142,0.0050835148874364,0.0384894698620188,-0.0236020334059549,0.0625,0.1875,0.28125,0.375,0.0202020202020202,0.0959595959595959,0.202020202020202,0.3737373737373737,46,251,32,198,288.74267667480905,169.76846978556807,0.0577350269189625,0.2174762478234047,0.1201614560090051,0.0397697454487858,0.0235043560850701,0.0882908199475211,0.1755292339213957,0.1864789069493034,,,,,,,,,,,,35.0,,,,,,,,10.0,,,,,,,,,,423,171,282,92,357,423.0
dion-smith,2017,14,85,0.0333333333333333,0.1166666666666666,0.1833333333333333,0.25,0.0119047619047619,0.0654761904761904,0.1369047619047619,0.2708333333333333,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0235294117647058,0.0470588235294117,139,423,396.0,150.0,323.0,234.0,24,8,20.91070815517618,0.0,-0.0227272727272727,0.0357142857142857,-0.0642857142857143,-0.1642857142857143,-0.0984848484848484,-0.185204991087344,-0.2719251336898396,0.0512820512820512,0.1025641025641025,0.1794871794871795,0.2564102564102564,0.0172413793103448,0.0732758620689655,0.168103448275862,0.271551724137931,60,336,39,232,159.54936540143305,140.32818676231798,0.0577350269189625,0.0750283393170891,0.09212162915311,0.1770410613811552,0.0235043560850701,0.1024838451545099,0.1899313324393675,0.2750902725977094,124.0,,,,,,52.0,,99.0,80.0,,,,,88.0,,76.0,,,,,,70.0,31.0,,,,,,171,282,92,357,302,171.0
domenico-pozzovivo,2007,9,58,0.0,0.0363636363636363,0.1818181818181818,0.3454545454545454,0.0150375939849624,0.0977443609022556,0.1278195488721804,0.18796992481203,0.0,0.0,0.0,0.1111111111111111,0.0,0.0344827586206896,0.0344827586206896,0.0689655172413793,1360,278,17.0,211.0,727.6666666666666,110.0,25,6,19.467401285583104,0.0,0.0,0.0,-0.03125,0.0243055555555555,0.0172413793103448,0.0172413793103448,0.0344827586206896,0.0,0.0,0.027027027027027,0.054054054054054,0.0,0.0186915887850467,0.0186915887850467,0.0560747663551401,55,133,37,107,563.6544449690194,97.24710792614864,0.0,0.0,0.0360843918243516,0.0557000435903516,0.0,0.019908629972056,0.019908629972056,0.0560924425440555,,17.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,131,124,52,55,28,131.0
domenico-pozzovivo,2008,21,46,0.0,0.0263157894736842,0.131578947368421,0.25,0.0111731843575419,0.0837988826815642,0.1173184357541899,0.2011173184357542,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0869565217391304,0.2391304347826087,278,131,211.0,407.0,589.6666666666666,211.66666666666663,26,7,19.467401285583104,0.0,0.0,0.0,0.0,0.0,0.0217391304347826,0.0434782608695652,0.0640096618357488,0.0,0.0,0.0,0.0238095238095238,0.0,0.0327868852459016,0.0491803278688524,0.1393442622950819,76,179,42,122,671.1649077040108,195.0008546989816,0.0,0.0,0.0,0.0641500299099584,0.0,0.0229504497815193,0.0437873519235689,0.0886202549061193,,9.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,124,52,55,28,42,124.0
domenico-pozzovivo,2009,17,55,0.0,0.021505376344086,0.1182795698924731,0.2365591397849462,0.0128205128205128,0.0854700854700854,0.1282051282051282,0.2264957264957265,0.0,0.0,0.0588235294117647,0.1764705882352941,0.0181818181818181,0.0909090909090909,0.1636363636363636,0.3090909090909091,131,124,407.0,415.0,177.66666666666666,344.3333333333333,27,8,19.467401285583104,0.0,0.009090909090909,0.0,0.0294117647058823,0.0326797385620915,0.0282131661442006,0.0645768025078369,0.1200626959247648,0.0,0.0,0.0212765957446808,0.0851063829787234,0.0062893081761006,0.0566037735849056,0.0943396226415094,0.2012578616352201,93,234,47,159,86.96167738339304,115.53931509807964,0.0,0.0,0.0339617805405662,0.0892182798668552,0.0104972776216295,0.0303164797716494,0.0649537626030235,0.1234981585140347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,55,28,42,40,52.0
domenico-pozzovivo,2010,15,55,0.0,0.0555555555555555,0.1574074074074074,0.2777777777777778,0.0242214532871972,0.0865051903114186,0.1314878892733564,0.2387543252595155,0.0,0.2666666666666666,0.4,0.5333333333333333,0.0727272727272727,0.0909090909090909,0.1454545454545454,0.2909090909090909,124,52,415.0,693.0,102.33333333333331,505.0,28,9,19.467401285583104,0.0,0.0363636363636363,0.1333333333333333,0.2,0.2666666666666666,0.0237154150197628,0.0292490118577075,0.025889328063241,0.0,0.0754716981132075,0.1320754716981132,0.2075471698113207,0.032051282051282,0.0769230769230769,0.1346153846153846,0.282051282051282,108,289,53,156,43.730233629988,162.8619046922883,0.0,0.1539600717839002,0.215971291184539,0.2717036779886816,0.037848472717566,0.0273842024912075,0.0400674336679025,0.0362998524058146,,,,,,7.0,,,,,,,,73.0,,,,,,,,,,,,,,,,55,28,42,40,29,55.0
domenico-pozzovivo,2011,13,66,0.0,0.0661157024793388,0.1652892561983471,0.3140495867768595,0.0225352112676056,0.0788732394366197,0.1295774647887324,0.2422535211267605,0.0,0.1538461538461538,0.2307692307692307,0.6153846153846154,0.0151515151515151,0.0454545454545454,0.1212121212121212,0.2575757575757575,52,55,693.0,669.0,77.0,592.3333333333334,29,10,19.467401285583104,0.0,-0.0015151515151515,0.0769230769230769,0.085972850678733,0.2194570135746606,-0.0227272727272727,-0.0212121212121212,-0.0257575757575757,0.0,0.1333333333333333,0.2222222222222222,0.4222222222222222,0.034090909090909,0.0738636363636363,0.1420454545454545,0.2840909090909091,121,355,45,176,40.7308237088326,154.04328396049382,0.0,0.1338582697466796,0.1705900356374866,0.2333555780897477,0.0324020503683746,0.0262431940540739,0.021284148995662,0.0261262972856112,,,,,,,,,,,,,,101.0,,,,6.0,,,,,,,,,,,,28,42,40,29,96,28.0
domenico-pozzovivo,2012,19,72,0.0,0.0571428571428571,0.1642857142857142,0.3214285714285714,0.0327868852459016,0.0866510538641686,0.1475409836065573,0.2646370023419204,0.0,0.0,0.1578947368421052,0.3684210526315789,0.0833333333333333,0.125,0.2361111111111111,0.375,55,28,669.0,997.0,45.0,786.3333333333334,30,11,19.467401285583104,0.0,0.0053030303030303,-0.1333333333333333,-0.1210526315789473,-0.0824561403508772,0.0170454545454545,0.0453282828282828,0.0420454545454545,0.0,0.1276595744680851,0.2553191489361702,0.4893617021276595,0.0569948186528497,0.0880829015544041,0.1709844559585492,0.310880829015544,140,427,47,193,14.798648586948742,182.8369036418341,0.0,0.1338582697466796,0.1242072888147913,0.1257772333268798,0.0366883648962909,0.0399077793668664,0.0605641339264984,0.0605128702725763,,8.0,,,,11.0,,,,,,40.0,,,,,,,,,,,,,,,,,,42,40,29,96,35,42.0
domenico-pozzovivo,2013,6,101,0.0,0.0547945205479452,0.1643835616438356,0.3287671232876712,0.0265151515151515,0.0738636363636363,0.125,0.2518939393939394,0.0,0.0,0.1666666666666666,0.5,0.0,0.0198019801980198,0.0297029702970297,0.198019801980198,28,42,997.0,825.0,41.66666666666666,830.3333333333334,31,12,19.467401285583104,0.0,-0.0075757575757575,-0.0769230769230769,-0.032051282051282,-0.0576923076923077,-0.0128262826282628,-0.0457545754575457,-0.0297779777977797,0.0,0.0526315789473684,0.1842105263157894,0.4736842105263157,0.0292887029288702,0.0585774058577405,0.1171548117154811,0.2677824267782426,146,528,38,239,13.503086067019394,164.06502775830484,0.0,0.0888231183368655,0.0397843716018091,0.1235702433070022,0.0443898884627448,0.0548515524139792,0.1034247094712983,0.0900530908658292,,10.0,6.0,,,11.0,25.0,,,,,7.0,,,,,,15.0,,,,,,,,,,,,40,29,96,35,25,40.0
domenico-pozzovivo,2014,5,66,0.0,0.0529801324503311,0.1721854304635761,0.3377483443708609,0.0235690235690235,0.0707070707070707,0.1262626262626262,0.2626262626262626,0.0,0.0,0.4,0.6,0.0,0.0454545454545454,0.1363636363636363,0.3484848484848485,42,40,825.0,882.0,36.66666666666666,901.3333333333334,32,13,19.467401285583104,0.0,-0.0416666666666666,0.0,0.1210526315789473,0.1157894736842105,-0.0397727272727272,-0.0498737373737373,-0.0132575757575757,0.0,0.0,0.2,0.4333333333333333,0.0251046025104602,0.0585774058577405,0.1213389121338912,0.2928870292887029,151,594,30,239,7.571877794400365,87.61468674447985,0.0,0.0,0.1373173633388758,0.1161477710037574,0.0481125224324688,0.0548515524139792,0.1032233637947307,0.095450488012238,,5.0,,,,6.0,8.0,,,,,,,,,,5.0,85.0,,,,,,,,,,,,29,96,35,25,132,29.0
