rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_benelux_tour,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,RankY1,RankY2,RankY3,RankY4,RankY5,actual_rank
alejandro-valverde,2014,17,77,0.1228070175438596,0.3333333333333333,0.3801169590643274,0.4970760233918128,0.1051980198019802,0.2648514851485148,0.3576732673267326,0.4900990099009901,0.3529411764705882,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.0909090909090909,0.2987012987012987,0.3766233766233766,0.5454545454545454,2,1,2500.0,2959.0,2.0,2525.6666666666665,34,18,19.4707778735357,0.1764705882352941,-0.01010101010101,0.2124183006535948,0.2418300653594771,0.2418300653594771,0.0271284271284271,0.0327561327561327,0.056060606060606,0.1627906976744186,0.4651162790697674,0.5348837209302325,0.6046511627906976,0.0897959183673469,0.2408163265306122,0.3183673469387755,0.4775510204081633,171,808,43,245,1.0,421.0870852131816,0.1890911913920187,0.2128284961816293,0.244756479509228,0.2792413066668778,0.0235814722169992,0.059687043156473,0.0541279226942167,0.0583218149643407,4.0,,3.0,,,,,5.0,,,,,,,,,2.0,2.0,3.0,,63.0,,1.0,4.0,1.0,,,,,1,4,6,1,2,1.0
alejandro-valverde,2015,15,91,0.1344086021505376,0.3494623655913978,0.4086021505376344,0.521505376344086,0.100111234705228,0.2558398220244716,0.3459399332591769,0.4838709677419355,0.2666666666666666,0.5333333333333333,0.7333333333333333,0.8,0.0549450549450549,0.1758241758241758,0.2417582417582417,0.4285714285714285,1,1,2959.0,3022.0,1.3333333333333333,2827.0,35,19,19.4707778735357,0.1039215686274509,-0.0045787545787545,0.0607843137254902,0.1019607843137254,0.0470588235294117,-0.0018315018315018,-0.0137362637362637,-0.0164835164835165,0.2244897959183673,0.5306122448979592,0.6530612244897959,0.7346938775510204,0.0691056910569105,0.2154471544715447,0.2926829268292683,0.4756097560975609,186,899,49,246,0.5773502691896257,284.9368351056072,0.1511882111019714,0.1176688432990098,0.1106642301348855,0.0543388488649059,0.0186898445517941,0.0699097169478761,0.0712700457070412,0.0602638606667559,3.0,,7.0,,,,2.0,,,9.0,,,,20.0,,,1.0,4.0,3.0,,,,1.0,2.0,3.0,,,,,4,6,1,2,22,4.0
alejandro-valverde,2016,15,95,0.1293532338308457,0.3432835820895522,0.4129353233830846,0.5323383084577115,0.0975855130784708,0.2505030181086519,0.3360160965794768,0.4788732394366197,0.0666666666666666,0.2666666666666666,0.4666666666666667,0.6666666666666666,0.0736842105263157,0.2,0.2421052631578947,0.431578947368421,1,4,3022.0,2173.0,2.0,2718.0,36,20,19.4707778735357,-0.1431372549019607,-0.0086124401913875,-0.1901960784313725,-0.1196078431372549,-0.0196078431372549,-0.0493506493506493,-0.0672590567327409,-0.0569377990430621,0.2340425531914893,0.4893617021276595,0.6382978723404256,0.723404255319149,0.0722433460076045,0.2205323193916349,0.2813688212927757,0.4638783269961977,201,994,47,263,1.7320508075688772,473.0338254290067,0.1468538877055368,0.195253165247131,0.1466792487001179,0.0685246662592479,0.0179873304435931,0.0650963441964586,0.0777644390412,0.0666312739648822,6.0,3.0,12.0,,,18.0,,,,,,,,15.0,,,16.0,6.0,10.0,,,,1.0,,3.0,,,,,6,1,2,22,12,6.0
alejandro-valverde,2017,9,38,0.1380952380952381,0.3523809523809524,0.419047619047619,0.5380952380952381,0.1046511627906976,0.2587209302325581,0.3430232558139535,0.4874031007751938,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.2894736842105263,0.4736842105263157,0.5263157894736842,0.7105263157894737,4,6,2173.0,1788.0,3.6666666666666665,2327.6666666666665,37,21,19.4707778735357,0.0333333333333333,0.1172643146327356,0.0111111111111111,-0.0888888888888888,-0.0666666666666667,0.1489300173510699,0.1422787738577212,0.1409774436090225,0.2051282051282051,0.4358974358974359,0.5897435897435898,0.717948717948718,0.1026785714285714,0.2366071428571428,0.2901785714285714,0.4776785714285714,210,1032,39,224,2.516611478423584,631.3717869317043,0.1387777332977421,0.1607595141793385,0.1357800205912841,0.0769800358919501,0.1303328628614365,0.1654328251581051,0.1641892920048767,0.1619255167993838,,,,,,,1.0,1.0,,9.0,,,,,,,1.0,,,,,,1.0,19.0,,,,,,1,2,22,12,10,1.0
aleksey-lutsenko,2014,9,72,0.0465116279069767,0.1162790697674418,0.1395348837209302,0.1627906976744186,0.0224719101123595,0.0936329588014981,0.1385767790262172,0.2172284644194756,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0277777777777777,0.0555555555555555,0.0972222222222222,0.1388888888888889,708,199,67.0,290.0,412.3333333333333,180.33333333333331,22,6,22.587833094227893,0.01010101010101,-0.0088383838383838,-0.1262626262626262,-0.1717171717171717,-0.1717171717171717,-0.101010101010101,-0.1332070707070707,-0.2032828282828282,0.0571428571428571,0.1428571428571428,0.1714285714285714,0.1714285714285714,0.0256410256410256,0.1076923076923077,0.1641025641025641,0.2512820512820513,43,267,35,195,264.299703619458,111.54520757671902,0.0591865179503264,0.1863447017107301,0.2369614587193657,0.2369614587193657,0.022913564964337,0.135550637935358,0.1812480609201667,0.2631889159691016,,,100.0,,,85.0,,,,,,,,,,,,,61.0,,,,,102.0,90.0,,,,,186,91,87,75,22,186.0
aleksey-lutsenko,2015,15,62,0.0689655172413793,0.1206896551724138,0.1379310344827586,0.1551724137931034,0.0212765957446808,0.0820668693009118,0.121580547112462,0.2006079027355623,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0161290322580645,0.032258064516129,0.0483870967741935,0.1290322580645161,199,186,290.0,324.0,364.3333333333333,227.0,23,7,22.587833094227893,0.0666666666666666,0.0080645161290322,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0161290322580645,0.0154216185625353,0.0382003395585738,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0157068062827225,0.031413612565445,0.0575916230366492,0.1099476439790576,58,329,39,191,297.6950341092933,139.6030085635693,0.0714344500814292,0.0714344500814292,0.0714344500814292,0.0714344500814292,0.0139489778122289,0.0278979556244578,0.0401763118769595,0.0472132404789109,,,,,,64.0,,,,,25.0,,,57.0,22.0,,,,54.0,,69.0,,,,,72.0,115.0,42.0,18.0,91,87,75,22,64,91.0
aleksey-lutsenko,2016,13,82,0.0704225352112676,0.1126760563380281,0.1267605633802817,0.1408450704225352,0.024330900243309,0.0851581508515815,0.1240875912408759,0.2043795620437956,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0365853658536585,0.0975609756097561,0.1341463414634146,0.2195121951219512,186,91,324.0,548.0,158.66666666666666,387.3333333333333,24,8,22.587833094227893,-0.017094017094017,0.0044037940379403,-0.017094017094017,-0.017094017094017,-0.017094017094017,0.0210027100271002,0.0184620596205962,0.0403116531165311,0.1081081081081081,0.1081081081081081,0.1081081081081081,0.1081081081081081,0.0277777777777777,0.0648148148148148,0.0972222222222222,0.1666666666666666,71,411,37,216,58.96043871388114,140.17607974734253,0.028415857868471,0.028415857868471,0.028415857868471,0.028415857868471,0.0102609978727839,0.0330950615650435,0.0430172603128251,0.049638509393876,62.0,,,,71.0,,,,,75.0,,,,,14.0,,,,,,103.0,,148.0,55.0,,,,53.0,100.0,87,75,22,64,42,87.0
aleksey-lutsenko,2017,10,92,0.0617283950617283,0.1111111111111111,0.1234567901234567,0.1481481481481481,0.0298210735586481,0.0834990059642147,0.1153081510934393,0.1888667992047713,0.0,0.1,0.1,0.2,0.0543478260869565,0.0760869565217391,0.0760869565217391,0.1195652173913043,91,87,548.0,581.0,121.33333333333331,484.3333333333333,25,9,22.587833094227893,-0.0666666666666666,0.019109396914446,-0.0166666666666666,-0.0166666666666666,0.0333333333333333,0.021914446002805,0.0138499298737727,-0.0047335203366058,0.0789473684210526,0.1052631578947368,0.1052631578947368,0.131578947368421,0.0381355932203389,0.0720338983050847,0.0889830508474576,0.1567796610169491,81,503,38,236,56.03867711976553,139.82965827510748,0.0669291348733398,0.0283601026034821,0.0283601026034821,0.0616096454391114,0.0191252136347504,0.0332830674355948,0.043766087441277,0.0551749372851419,71.0,,75.0,,48.0,,,101.0,,48.0,,,,24.0,47.0,,98.0,,,,51.0,,164.0,,,,,,,75,22,64,42,92,75.0
alessandro-ballan,2007,20,78,0.0459770114942528,0.1149425287356321,0.1724137931034483,0.2413793103448276,0.0161943319838056,0.0607287449392712,0.1255060728744939,0.2105263157894736,0.1,0.1,0.15,0.3,0.0256410256410256,0.0384615384615384,0.1025641025641025,0.141025641025641,15,22,1229.0,1082.0,50.66666666666666,907.6666666666666,28,7,20.221606648199447,0.05,-0.0053613053613053,0.025,0.0499999999999999,0.0999999999999999,-0.0171328671328671,0.0058275058275058,0.0159673659673659,0.05,0.1,0.1666666666666666,0.2666666666666666,0.0192307692307692,0.048076923076923,0.110576923076923,0.1875,87,247,60,208,55.82412859448264,435.5069842532188,0.05,0.0499999999999999,0.1258305739211791,0.1527525231651946,0.0186848897339497,0.0193545076095145,0.02191803368644,0.0984570389650255,88.0,,,,,111.0,154.0,,,,74.0,5.0,,55.0,1.0,61.0,,,16.0,,10.0,,,,4.0,,1.0,,,10,77,124,119,50,10.0
alessandro-ballan,2008,19,81,0.0471698113207547,0.1320754716981132,0.1981132075471698,0.2735849056603773,0.0152439024390243,0.0548780487804878,0.1097560975609756,0.1890243902439024,0.0526315789473684,0.2105263157894736,0.3157894736842105,0.4210526315789473,0.0123456790123456,0.037037037037037,0.0617283950617283,0.1234567901234567,22,10,1082.0,1358.0,15.666666666666666,1223.0,29,8,20.221606648199447,0.0013157894736842,0.0061728395061728,0.0302631578947368,0.0078947368421052,0.0105263157894736,-0.0014814814814814,-0.0358024691358024,-0.0849382716049382,0.0677966101694915,0.1525423728813559,0.2542372881355932,0.3728813559322034,0.0128205128205128,0.0384615384615384,0.0982905982905982,0.1837606837606837,106,328,59,234,6.027713773341708,138.09779143780685,0.0281386226883253,0.0553466370327977,0.0915017823721774,0.06467476698655,0.0128234435584229,0.0014818466932413,0.0359202072985619,0.0934204988132109,91.0,,,,,13.0,91.0,,,,94.0,,,16.0,4.0,3.0,,14.0,2.0,,38.0,52.0,,54.0,,2.0,,,,77,124,119,50,999,77.0
