rider_slug,rank,pcs_points
tom-steels,44,733
marcel-wust,45,730
jo-planckaert,46,725
mauro-gianetti,47,725
henk-vogels,48,720
melchor-mauri,49,716
ivan-gotti,50,714
davide-casarotto,51,705
bo-hamburger,52,700
claudio-chiappucci,53,687
alexander-gontsjenkov,54,687
juan-carlos-dominguez,55,683
andrea-ferrigato,56,682
michael-boogerd,57,670
christian-henn,58,668
daniele-nardello,59,666
mariano-piccoli,60,655
luc-leblanc,61,653
nicola-minali,62,622
fabrizio-guidi,63,617
stephane-heulot,64,611
cedric-vasseur,65,600
wladimir-belli,66,596
erik-dekker,67,592
felix-manuel-garcia-casas,68,588
aitor-garmendia,69,577
glenn-magnusson,70,571
alessandro-baronti,71,564
mario-traversoni,72,556
roberto-heras,73,551
marcos-antonio-serrano,74,542
giuseppe-di-grande,75,539
david-etxebarria,76,537
christophe-moreau,77,536
jean-cyril-robin,78,535
giuseppe-guerini,79,535
frederic-guesdon,80,534
pascal-herve,81,533
lauri-aus,82,531
angel-luis-casero,83,530
paolo-lanfranchi,84,525
fabio-baldato,85,515
robbie-mcewen,86,507
pascal-chanteur,87,505
sergio-barbero,88,501
philippe-gaumont,89,498
alessandro-bertolini,90,497
serhiy-ushakov,91,494
evgeni-berzin,92,493
luca-scinto,93,489
candido-barbosa,94,484
santiago-blanco,95,483
lars-michaelsen,96,482
bobby-julich,97,479
manuel-beltran,98,478
francois-simon,99,478
dmitri-konychev,100,477
michele-bartoli,1,2500
laurent-jalabert,2,2410
marco-pantani,3,2218
abraham-olano-manzano,4,1916
michael-boogerd,5,1620
erik-zabel,6,1605
frank-vandenbroucke,7,1582
alex-zulle,8,1558
davide-rebellin,9,1494
oscar-camenzind,10,1399
andrei-tchmil,11,1310
andrea-tafi,12,1308
jan-ullrich,13,1247
bo-hamburger,14,1216
bobby-julich,15,1206
francesco-casagrande,16,1198
emmanuel-magnien,17,1190
mirko-celestino,18,1142
peter-van-petegem,19,1126
jaan-kirsipuu,20,1110
jose-maria-jimenez,21,1105
fernando-escartin,22,1102
alberto-elli,23,1094
mario-cipollini,24,1078
daniele-nardello,25,1013
leon-van-bon,26,1000
laurent-dufaux,27,997
rodolfo-massi,28,962
marco-serpellini,29,951
roberto-heras,30,942
markus-zberg,31,916
markus-zberg,31,916
leonardo-piepoli,32,915
jeroen-blijlevens,33,913
beat-zberg,34,884
tom-steels,35,874
stefano-zanini,36,871
roland-meier,37,859
rolf-sorensen,38,842
stuart-o-grady,39,815
christophe-rinero,40,815
fabrizio-guidi,41,811
viatcheslav-ekimov,42,801
marco-velo,43,795
jacky-durand,44,771
pavel-tonkov,45,766
wladimir-belli,46,759
melchor-mauri,47,750
serhiy-honchar,48,746
richard-virenque,49,745
rolf-jaermann,50,744
franco-ballerini,51,740
massimo-donati,52,734
maarten-den-bakker,53,729
axel-merckx,54,727
paolo-bettini,55,726
stefano-garzelli,56,721
jan-svorada-1,57,715
lance-armstrong,58,710
fabio-baldato,59,705
nicola-minali,60,686
udo-bolts,61,672
ludo-dierckxsens,62,652
mariano-piccoli,63,650
jean-cyril-robin,64,645
paolo-savoldelli,65,629
frederic-moncassin,66,611
alexandre-vinokourov,67,607
andrei-teteriouk,68,598
jens-voigt,69,591
andrei-zintchenko,70,583
luc-leblanc,71,582
dariusz-baranowski,72,576
gianni-faresin,73,575
pascal-chanteur,74,572
daniel-clavero,75,565
robbie-mcewen,76,561
aitor-garmendia,77,560
niki-aebersold,78,553
niki-aebersold,78,553
