model,year,RMSE,MAE,MAPE,PredInRange
NGBoost Training set,2012,24.55295389198299,19.642631098986207,0.5923869316306101,64.41926345609065
NGBoost Validation set,2012,115.37537496924612,85.68561364789839,2.026818609721467,21.7910447761194
NGBoost Test set,2012,127.96646478679664,96.35334194710678,2.002637411475019,23.40740740740741
NGBoost Training set,2013,23.84171241206088,18.871944176509817,0.5450109356813673,61.97927997626679
NGBoost Validation set,2013,113.17672398972311,84.06826396269136,2.0885165584258942,20.236594803758983
NGBoost Test set,2013,127.69784223729775,93.93031568289038,3.084181188607534,26.046511627906977
NGBoost Training set,2014,26.508783082784397,20.818846745025418,0.5668857314024158,60.04089624555411
NGBoost Validation set,2014,112.8769131652634,82.76531148042908,2.83149351914697,20.10513324848625
NGBoost Test set,2014,105.85767768363755,81.04572652391434,2.7641874457324285,22.0
NGBoost Training set,2015,24.772505522026727,19.49753044470637,0.5483886557801915,59.45945538149323
NGBoost Validation set,2015,102.46679167971119,76.00256762371339,1.944551923501648,17.205510907003447
NGBoost Test set,2015,120.74970864070565,90.57389210749167,3.1355660148721247,22.205882352941178
NGBoost Training set,2016,25.00288503222111,19.62763416635579,0.5128073519207261,57.29964285228473
NGBoost Validation set,2016,92.33734500537665,68.85855065118423,2.0637488306715652,18.11085972850679
NGBoost Test set,2016,99.3897631539417,75.9342637376689,1.8866240116542912,21.014492753623188
NGBoost Training set,2017,28.287989184657782,22.15734263662919,0.5828986263209203,57.406451281673526
NGBoost Validation set,2017,89.80305921500769,66.58975311146652,1.9196674660471,24.394714407502132
NGBoost Test set,2017,100.5552910642313,73.7016798709087,1.8200268166987943,23.649635036496353
NGBoost Training set,2018,29.509530881156024,23.073800947045246,0.6207465234722304,57.226117049125904
NGBoost Validation set,2018,85.41007262259015,63.67518408769111,1.7180035377762763,25.830953136570407
NGBoost Test set,2018,114.9505573096109,83.60664699371742,2.0957218582812005,24.999999999999996
