rank,count
1,3
2,3
3,1
4,1
5,3
6,0
7,2
8,1
9,2
10,1
11,3
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,2
23,2
24,1
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,2
35,0
36,0
37,1
38,1
39,0
40,0
