rank,count
1,3
2,3
3,4
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
