rank,count
1,3
2,2
3,3
4,2
5,3
6,1
7,1
8,1
9,0
10,2
11,0
12,2
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,2
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
