rank,count
1,2
2,2
3,1
4,3
5,2
6,1
7,1
8,2
9,1
10,1
11,2
12,1
13,0
14,0
15,0
16,0
17,0
18,2
19,1
20,0
21,0
22,2
23,0
24,0
25,0
26,0
27,2
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
