rank,count
1,2
2,3
3,3
4,2
5,3
6,1
7,2
8,2
9,1
10,1
11,0
12,2
13,2
14,1
15,0
16,0
17,0
18,2
19,0
20,0
21,1
22,2
23,1
24,0
25,1
26,1
27,2
28,0
29,0
30,1
31,2
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,0
40,1
