rank,count
1,0
2,1
3,1
4,2
5,2
6,3
7,1
8,0
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
