rider_name,year,pcs_points
alejandro valverde,2018,2857.0
peter sagan,2018,2386.0
elia viviani,2018,2212.0
julian alaphilippe,2018,2018.0
simon yates,2018,1910.0
tom dumoulin,2018,1759.0
thibaut pinot,2018,1757.0
primoz roglic,2018,1664.0
geraint thomas,2018,1658.0
romain bardet,2018,1616.0
greg van avermaet,2018,1594.0
remco evenepoel,2018,1568.0
miguel angel lopez,2018,1518.0
tim wellens,2018,1494.0
michal kwiatkowski,2018,1463.0
michael matthews,2018,1439.0
arnaud demare,2018,1406.0
christopher froome,2018,1394.0
alexander kristoff,2018,1344.0
nairo quintana,2018,1292.0
sonny colbrelli,2018,1276.0
ion izagirre,2018,1251.0
jasper stuyven,2018,1233.0
domenico pozzovivo,2018,1172.0
bauke mollema,2018,1167.0
pascal ackermann,2018,1152.0
niki terpstra,2018,1151.0
steven kruijswijk,2018,1126.0
egan bernal,2018,1121.0
jakob fuglsang,2018,1097.0
michael valgren andersen,2018,1078.0
oliver naesen,2018,1016.0
rohan dennis,2018,1004.0
dan martin,2018,997.0
bob jungels,2018,996.0
dylan teuns,2018,991.0
rigoberto uran,2018,976.0
john degenkolb,2018,971.0
philippe gilbert,2018,951.0
george bennett,2018,940.0
tiesj benoot,2018,940.0
daryl impey,2018,937.0
gianni moscon,2018,937.0
matej mohoric,2018,937.0
dylan groenewegen,2018,934.0
adam yates,2018,900.0
enric mas,2018,892.0
rafal majka,2018,869.0
mikel landa,2018,866.0
christophe laporte,2018,864.0
michael woods,2018,862.0
richard carapaz,2018,845.0
sam bennett,2018,845.0
timothy dupont,2018,829.0
pierre latour,2018,826.0
eduard prades,2018,818.0
andrea pasqualon,2018,815.0
maximilian schachmann,2018,807.0
diego ulissi,2018,806.0
patrick konrad,2018,806.0
davide formolo,2018,788.0
yves lampaert,2018,782.0
emanuel buchmann,2018,777.0
richie porte,2018,776.0
luis leon sanchez,2018,775.0
danny van poppel,2018,769.0
vincenzo nibali,2018,767.0
andre greipel,2018,759.0
gorka izagirre,2018,750.0
wilco kelderman,2018,749.0
sam oomen,2018,743.0
damiano caruso,2018,737.0
marc soler,2018,732.0
edvald boasson hagen,2018,726.0
caleb ewan,2018,716.0
fabio jakobsen,2018,693.0
zdenek stybar,2018,689.0
mads pedersen,2018,650.0
aleksey lutsenko,2018,649.0
fernando gaviria,2018,642.0
soren kragh andersen,2018,633.0
magnus cort nielsen,2018,621.0
hugo hofstetter,2018,619.0
karel vacek,2018,608.0
ilan van wilder,2018,601.0
manuel belletti,2018,599.0
pello bilbao,2018,589.0
rui costa,2018,569.0
sep vanmarcke,2018,565.0
ilnur zakarin,2018,562.0
ivan ramiro sosa,2018,560.0
wout poels,2018,560.0
david de la cruz,2018,559.0
wout van aert,2018,557.0
alvaro jose hodeg,2018,556.0
lilian calmejane,2018,555.0
matteo trentin,2018,555.0
giacomo nizzolo,2018,554.0
roman kreuziger,2018,550.0
tejay van garderen,2018,543.0
guillaume martin,2018,541.0
tony gallopin,2018,540.0
ben hermans,2018,528.0
toms skujins,2018,514.0
alexandre geniez,2018,510.0
giovanni visconti,2018,509.0
marco canola,2018,508.0
jean pierre drucker,2018,506.0
rudy molard,2018,506.0
sergei chernetski,2018,502.0
jan tratnik,2018,492.0
valentin madouas,2018,489.0
benjamin dyball,2018,485.0
carlos barbero,2018,476.0
gianluca brambilla,2018,468.0
artem ovechkin,2018,466.0
felix grossschartner,2018,466.0
jens debusschere,2018,464.0
davide ballerini,2018,460.0
daniel felipe martinez,2018,459.0
sergio luis henao,2018,456.0
xandro meurisse,2018,456.0
silvan dillier,2018,455.0
jesus herrada lopez,2018,454.0
jay mccarthy,2018,451.0
ruben guerreiro,2018,451.0
jonathan hivert,2018,449.0
nacer bouhanni,2018,448.0
nathan haas,2018,448.0
timo roosen,2018,446.0
jonathan castroviejo,2018,443.0
sacha modolo,2018,442.0
victor campenaerts,2018,434.0
mikel nieve,2018,430.0
robert gesink,2018,430.0
patrick bevin,2018,427.0
jelle vanendert,2018,424.0
serghei tvetcov,2018,424.0
warren barguil,2018,424.0
alessandro de marchi,2018,419.0
dries devenyns,2018,419.0
sean de bie,2018,417.0
arthur vichot,2018,416.0
enrico gasparotto,2018,415.0
nils politt,2018,413.0
fabio aru,2018,411.0
kenny dehaes,2018,410.0
alexis vuillermoz,2018,406.0
bryan coquard,2018,405.0
florian senechal,2018,400.0
jack haig,2018,398.0
jacob hindsgaul madsen,2018,395.0
taco van der hoorn,2018,395.0
mathieu van der poel,2018,391.0
biniam ghirmay,2018,389.0
francesco gavazzi,2018,388.0
marc sarreau,2018,388.0
pieter serry,2018,386.0
stefan kung,2018,385.0
giulio ciccone,2018,382.0
mike teunissen,2018,376.0
juan sebastian molano,2018,374.0
julien simon,2018,374.0
nicolas edet,2018,373.0
thomas boudat,2018,373.0
