rider_name,year,pcs_points
greg van avermaet,2017,2500.0
peter sagan,2017,2186.0
christopher froome,2017,2170.0
alexander kristoff,2017,2075.0
tom dumoulin,2017,1929.0
vincenzo nibali,2017,1739.0
michael matthews,2017,1734.0
alejandro valverde,2017,1717.0
alberto contador,2017,1637.0
michal kwiatkowski,2017,1613.0
dan martin,2017,1579.0
philippe gilbert,2017,1504.0
nairo quintana,2017,1486.0
thibaut pinot,2017,1437.0
rigoberto uran,2017,1371.0
elia viviani,2017,1364.0
primoz roglic,2017,1326.0
arnaud demare,2017,1324.0
andre greipel,2017,1313.0
mikel landa,2017,1303.0
diego ulissi,2017,1300.0
matteo trentin,2017,1285.0
romain bardet,2017,1281.0
ilnur zakarin,2017,1273.0
edvald boasson hagen,2017,1246.0
fernando gaviria,2017,1237.0
dylan groenewegen,2017,1234.0
nacer bouhanni,2017,1232.0
bauke mollema,2017,1224.0
fabio aru,2017,1207.0
tim wellens,2017,1148.0
richie porte,2017,1120.0
marcel kittel,2017,1111.0
sonny colbrelli,2017,1104.0
domenico pozzovivo,2017,1074.0
jasper stuyven,2017,1072.0
rui costa,2017,1033.0
john degenkolb,2017,1012.0
julian alaphilippe,2017,1010.0
wilco kelderman,2017,1000.0
dylan teuns,2017,999.0
rafal majka,2017,996.0
tony gallopin,2017,966.0
adam yates,2017,950.0
warren barguil,2017,947.0
oliver naesen,2017,936.0
simon yates,2017,914.0
michael albasini,2017,889.0
tiesj benoot,2017,887.0
rohan dennis,2017,872.0
sergio luis henao,2017,854.0
ion izagirre,2017,839.0
jean pierre drucker,2017,815.0
geraint thomas,2017,802.0
lilian calmejane,2017,793.0
sam bennett,2017,793.0
alexis vuillermoz,2017,788.0
tejay van garderen,2017,768.0
marco canola,2017,761.0
bob jungels,2017,759.0
wout poels,2017,751.0
louis meintjes,2017,745.0
gianni moscon,2017,728.0
caleb ewan,2017,724.0
jakob fuglsang,2017,690.0
damiano caruso,2017,668.0
sacha modolo,2017,665.0
nicolas roche,2017,657.0
andreas leknessund,2017,653.0
egan bernal,2017,645.0
miguel angel lopez,2017,645.0
jakub mareczko,2017,644.0
giovanni visconti,2017,641.0
edward theuns,2017,630.0
david de la cruz,2017,615.0
jasper de buyst,2017,615.0
michael woods,2017,615.0
steven kruijswijk,2017,612.0
stefan kung,2017,607.0
fabio felline,2017,599.0
jens keukeleire,2017,599.0
niklas markl,2017,597.0
simon spilak,2017,596.0
aleksey lutsenko,2017,591.0
jonathan castroviejo,2017,588.0
emanuel buchmann,2017,582.0
silvan dillier,2017,581.0
sep vanmarcke,2017,561.0
soren kragh andersen,2017,545.0
luis leon sanchez,2017,543.0
julien simon,2017,539.0
mattia cattaneo,2017,539.0
francesco gavazzi,2017,538.0
zdenek stybar,2017,537.0
johan esteban chaves,2017,536.0
magnus cort nielsen,2017,535.0
sylvain chavanel,2017,528.0
arthur vichot,2017,520.0
gorka izagirre,2017,519.0
thomas pidcock,2017,519.0
jan bakelants,2017,515.0
ben hermans,2017,509.0
michael valgren andersen,2017,509.0
mikel nieve,2017,508.0
nathan haas,2017,508.0
tony martin,2017,506.0
guillaume martin,2017,505.0
george bennett,2017,503.0
sam oomen,2017,501.0
yves lampaert,2017,499.0
jesus herrada lopez,2017,479.0
brent bookwalter,2017,478.0
raul alarcon,2017,478.0
luke durbridge,2017,466.0
rudy barbier,2017,466.0
benjamin prades reverter,2017,461.0
marc soler,2017,461.0
laurent pichon,2017,459.0
carlos barbero,2017,457.0
romain hardy,2017,456.0
wout van aert,2017,456.0
patrick konrad,2017,451.0
jan polanc,2017,448.0
jose joaquin rojas,2017,447.0
august jensen,2017,440.0
niki terpstra,2017,438.0
lars boom,2017,431.0
petr vakoc,2017,430.0
vasil kiryienka,2017,425.0
sander armee,2017,424.0
nikias arndt,2017,422.0
matej mohoric,2017,419.0
kenny dehaes,2017,418.0
maxime vantomme,2017,413.0
jay mccarthy,2017,407.0
xandro meurisse,2017,407.0
jack haig,2017,398.0
mads pedersen,2017,398.0
mauro finetto,2017,397.0
ben swift,2017,396.0
jos van emden,2017,396.0
pierre latour,2017,387.0
simon gerrans,2017,387.0
justin jules,2017,379.0
jan tratnik,2017,378.0
ariel maximiliano richeze,2017,376.0
yevgeniy gidich,2017,376.0
jai hindley,2017,374.0
timothy dupont,2017,373.0
benjamin thomas 2,2017,372.0
rudiger selig,2017,372.0
andrea pasqualon,2017,368.0
tom jelte slagter,2017,366.0
oscar sevilla,2017,363.0
coen vermeltfoort,2017,361.0
jonathan hivert,2017,360.0
mathias frank,2017,360.0
jon aberasturi,2017,359.0
alexandre geniez,2017,357.0
ryan gibbons,2017,357.0
lukas postlberger,2017,355.0
clement venturini,2017,353.0
yevgeniy fedorov,2017,351.0
adrien petit,2017,350.0
pierre rolland,2017,350.0
serghei tvetcov,2017,350.0
alberto bettiol,2017,349.0
daniel mclay,2017,348.0
amaro manuel antunes,2017,339.0
rick zabel,2017,337.0
roy jans,2017,337.0
mathieu van der poel,2017,335.0
tobias bayer,2017,335.0
bert van lerberghe,2017,329.0
phil bauhaus,2017,329.0
luka mezgec,2017,328.0
taco van der hoorn,2017,325.0
david gaudu,2017,323.0
luke rowe,2017,322.0
sebastien grignard,2017,321.0
simone consonni,2017,321.0
jens debusschere,2017,318.0
serge pauwels,2017,318.0
alexis renard,2017,317.0
christophe laporte,2017,317.0
edwin avila,2017,313.0
joeri stallaert,2017,313.0
manuel senni,2017,312.0
dylan van baarle,2017,311.0
enric mas,2017,310.0
jan hirt,2017,309.0
robert gesink,2017,309.0
alex howes,2017,308.0
richard carapaz,2017,308.0
merhawi kudus,2017,307.0
jarlinson pantano,2017,305.0
juan jose lobato,2017,305.0
mark donovan,2017,304.0
danny van poppel,2017,300.0
