rider_name,year,pcs_points
primoz roglic,2020,2431.0
tadej pogacar,2020,1995.0
wout van aert,2020,1807.0
jakob fuglsang,2020,1339.0
guillaume martin,2020,1165.0
diego ulissi,2020,1141.0
arnaud demare,2020,1139.0
mathieu van der poel,2020,1134.0
richie porte,2020,1133.0
julian alaphilippe,2020,1113.0
richard carapaz,2020,1113.0
sam bennett,2020,1068.0
aleksandr vlasov,2020,1023.0
pascal ackermann,2020,941.0
maximilian schachmann,2020,933.0
wilco kelderman,2020,911.0
peter sagan,2020,899.0
remco evenepoel,2020,898.0
marc hirschi,2020,891.0
joao almeida,2020,873.0
caleb ewan,2020,845.0
alejandro valverde,2020,818.0
tao geoghegan hart,2020,799.0
filippo ganna,2020,797.0
soren kragh andersen,2020,796.0
dan martin,2020,787.0
jai hindley,2020,784.0
mads pedersen,2020,769.0
vincenzo nibali,2020,764.0
mikel landa,2020,763.0
george bennett,2020,748.0
nairo quintana,2020,747.0
florian senechal,2020,729.0
miguel angel lopez,2020,720.0
enric mas,2020,719.0
rafal majka,2020,692.0
yves lampaert,2020,677.0
warren barguil,2020,671.0
daniel felipe martinez,2020,664.0
simon yates,2020,663.0
giacomo nizzolo,2020,657.0
michael matthews,2020,656.0
pello bilbao,2020,646.0
stefan kung,2020,640.0
michael woods,2020,639.0
jasper philipsen,2020,636.0
michal kwiatkowski,2020,630.0
benoit cosnefroy,2020,624.0
adam yates,2020,618.0
tom dumoulin,2020,615.0
jasper stuyven,2020,603.0
thibaut pinot,2020,600.0
sepp kuss,2020,570.0
greg van avermaet,2020,561.0
hugh carthy,2020,554.0
alexander kristoff,2020,545.0
patrick konrad,2020,545.0
lennard kamna,2020,539.0
nacer bouhanni,2020,538.0
marc soler,2020,534.0
tiesj benoot,2020,514.0
david gaudu,2020,513.0
luka mezgec,2020,511.0
tim merlier,2020,497.0
simon geschke,2020,482.0
tim wellens,2020,457.0
rohan dennis,2020,452.0
aleksey lutsenko,2020,440.0
felix grossschartner,2020,437.0
matteo trentin,2020,434.0
kasper asgreen,2020,433.0
rui costa,2020,428.0
fausto masnada,2020,427.0
damiano caruso,2020,420.0
alberto bettiol,2020,419.0
andrea vendrame,2020,418.0
sergio higuita,2020,417.0
egan bernal,2020,416.0
pavel sivakov,2020,416.0
brandon mcnulty,2020,413.0
john degenkolb,2020,405.0
wout poels,2020,405.0
gorka izagirre,2020,399.0
oliver naesen,2020,399.0
geraint thomas,2020,398.0
dylan teuns,2020,396.0
dylan van baarle,2020,383.0
fernando gaviria,2020,383.0
daryl impey,2020,368.0
jack haig,2020,368.0
johan esteban chaves,2020,368.0
david de la cruz,2020,365.0
valentin madouas,2020,364.0
dries devenyns,2020,363.0
dion smith,2020,361.0
josef cerny,2020,361.0
elia viviani,2020,360.0
andrea pasqualon,2020,358.0
rigoberto uran,2020,352.0
amaury capiot,2020,347.0
hermann pernsteiner,2020,347.0
rudy molard,2020,347.0
jesus herrada lopez,2020,340.0
remi cavagna,2020,339.0
davide ballerini,2020,334.0
ion izagirre,2020,329.0
romain bardet,2020,328.0
hugo hofstetter,2020,324.0
gianni vermeersch,2020,323.0
bryan coquard,2020,322.0
andrea bagioli,2020,321.0
bauke mollema,2020,321.0
alex aranburu,2020,320.0
giulio ciccone,2020,318.0
aime de gendt,2020,317.0
sonny colbrelli,2020,312.0
jhonatan narvaez,2020,311.0
tim declercq,2020,311.0
clement venturini,2020,308.0
davide formolo,2020,308.0
pierre rolland,2020,304.0
biniam ghirmay,2020,299.0
tanel kangert,2020,296.0
simon clarke,2020,294.0
james knox,2020,288.0
mikel nieve,2020,287.0
fabio jakobsen,2020,283.0
anthony turgis,2020,279.0
gregor muhlberger,2020,279.0
danny van poppel,2020,271.0
jean pierre drucker,2020,267.0
alexander krieger,2020,265.0
cees bol,2020,265.0
aurelien paret peintre,2020,264.0
ruben guerreiro,2020,262.0
victor campenaerts,2020,256.0
damien howson,2020,254.0
zdenek stybar,2020,251.0
ethan hayter,2020,245.0
matej mohoric,2020,241.0
max walscheid,2020,241.0
ben o connor,2020,234.0
ben swift,2020,234.0
natnael tesfatsion,2020,234.0
attila valter,2020,233.0
jacopo mosca,2020,233.0
markus hoelgaard,2020,228.0
domenico pozzovivo,2020,227.0
robert stannard,2020,224.0
xandro meurisse,2020,224.0
jannik steimle,2020,223.0
niccolo bonifazio,2020,217.0
magnus cort nielsen,2020,216.0
nans peters,2020,215.0
sebastien reichenbach,2020,212.0
kenny elissonde,2020,210.0
loic vliegen,2020,209.0
casper pedersen,2020,207.0
ilnur zakarin,2020,207.0
mike teunissen,2020,206.0
jonas rickaert,2020,204.0
lorenzo rota,2020,203.0
carlos verona,2020,202.0
ivan garcia cortina,2020,202.0
nelson oliveira,2020,202.0
neilson powless,2020,200.0
fabio felline,2020,196.0
jon aberasturi,2020,196.0
rudy barbier,2020,196.0
michael valgren andersen,2020,195.0
quinn simmons,2020,193.0
alex dowsett,2020,192.0
lucas hamilton,2020,192.0
philippe gilbert,2020,191.0
jonathan klever caicedo,2020,190.0
omar fraile,2020,190.0
quentin pacher,2020,188.0
eduard michael grosu,2020,185.0
florian vermeersch,2020,185.0
andreas leknessund,2020,183.0
matteo moschetti,2020,182.0
ben hermans,2020,181.0
alvaro jose hodeg,2020,176.0
jakub kaczmarek,2020,176.0
sergio luis henao,2020,176.0
simone consonni,2020,176.0
jhonatan restrepo,2020,175.0
victor de la parte,2020,175.0
youcef reguigui,2020,175.0
mattia cattaneo,2020,174.0
nils eekhoff,2020,174.0
matteo badilatti,2020,173.0
nico denz,2020,173.0
yevgeniy fedorov,2020,173.0
danilo celano,2020,172.0
dorian godon,2020,172.0
amaro manuel antunes,2020,171.0
kamil malecki,2020,171.0
edward irl dunbar,2020,170.0
luca wackermann,2020,170.0
phil bauhaus,2020,170.0
louis meintjes,2020,167.0
emmanuel morin,2020,166.0
diego rosa,2020,165.0
edvald boasson hagen,2020,164.0
jens keukeleire,2020,164.0
mikkel honore,2020,164.0
nikodemus holler,2020,163.0
harm vanhoucke,2020,162.0
lawrence warbasse,2020,162.0
joey rosskopf,2020,161.0
miguel eduardo florez,2020,161.0
michael storer,2020,160.0
sam oomen,2020,160.0
gianluca brambilla,2020,159.0
andreas kron,2020,158.0
nicholas white2,2020,155.0
nicolas edet,2020,155.0
reinardt janse van rensburg,2020,155.0
stefan bissegger,2020,155.0
thomas de gendt,2020,155.0
sven erik bystrom,2020,154.0
sergio samitier,2020,153.0
jan tratnik,2020,151.0
nathan haas,2020,150.0
enrico battaglin,2020,149.0
giovanni visconti,2020,149.0
max kanter,2020,149.0
alexandr riabushenko,2020,148.0
emanuel buchmann,2020,147.0
michael morkov,2020,146.0
romain hardy,2020,146.0
jack bauer,2020,144.0
william barta,2020,144.0
jan bakelants,2020,143.0
stanislaw aniolkowski,2020,143.0
alessandro de marchi,2020,142.0
sarawut sirironnachai,2020,142.0
alberto dainese,2020,141.0
daniel mclay,2020,141.0
stan dewulf,2020,141.0
gino mader,2020,140.0
jakub mareczko,2020,140.0
jan polanc,2020,140.0
sander armee,2020,140.0
gustavo cesar veloso,2020,137.0
ruben fernandez,2020,137.0
toms skujins,2020,137.0
hideto nakane,2020,136.0
oscar sevilla,2020,135.0
petr vakoc,2020,135.0
bob jungels,2020,134.0
nicola conci,2020,134.0
jonathan castroviejo,2020,133.0
matteo fabbro,2020,133.0
marco brenner,2020,132.0
jordi meeus,2020,131.0
gonzalo serrano,2020,129.0
luca mozzato,2020,129.0
adam toupalik,2020,128.0
alessandro covi,2020,128.0
gerben thijssen,2020,128.0
jasper de buyst,2020,128.0
mikkel bjerg,2020,128.0
luis leon sanchez,2020,127.0
jordan levasseur,2020,126.0
kaden groves,2020,126.0
marco haller,2020,126.0
moise mugisha,2020,126.0
timothy dupont,2020,126.0
dylan groenewegen,2020,125.0
jasha sutterlin,2020,125.0
jonas vingegaard rasmussen,2020,124.0
matthew holmes,2020,124.0
valerio conti,2020,124.0
christophe laporte,2020,123.0
dimitri claeys,2020,123.0
dries de bondt,2020,123.0
juan sebastian molano,2020,123.0
nicolas roche,2020,123.0
olav kooij,2020,123.0
alessandro fedeli,2020,122.0
carlos barbero,2020,122.0
georg zimmermann,2020,122.0
andrii ponomar,2020,120.0
jake stewart,2020,120.0
hugo houle,2020,119.0
pascal eenkhoorn,2020,119.0
artem ovechkin,2020,118.0
oscar rodriguez,2020,118.0
bruno armirail,2020,117.0
cristian raileanu,2020,116.0
maurits lammertink,2020,115.0
romain cardis,2020,114.0
bert van lerberghe,2020,113.0
dries van gestel,2020,113.0
