rider_name,year,pcs_points
peter sagan,2016,3315.0
christopher froome,2016,2318.0
greg van avermaet,2016,2175.0
alejandro valverde,2016,2173.0
nairo quintana,2016,2074.0
alexander kristoff,2016,1946.0
romain bardet,2016,1641.0
alberto contador,2016,1595.0
diego ulissi,2016,1543.0
giacomo nizzolo,2016,1370.0
ion izagirre,2016,1325.0
bryan coquard,2016,1312.0
marcel kittel,2016,1274.0
tom dumoulin,2016,1274.0
mark cavendish,2016,1263.0
johan esteban chaves,2016,1236.0
edvald boasson hagen,2016,1235.0
fabian cancellara,2016,1214.0
richie porte,2016,1185.0
sonny colbrelli,2016,1183.0
vincenzo nibali,2016,1178.0
nacer bouhanni,2016,1167.0
michael matthews,2016,1156.0
dan martin,2016,1125.0
andre greipel,2016,1115.0
julian alaphilippe,2016,1097.0
rui costa,2016,1088.0
thibaut pinot,2016,1064.0
dylan groenewegen,2016,1058.0
bauke mollema,2016,1050.0
baptiste planckaert,2016,1017.0
arnaud demare,2016,1013.0
rafal majka,2016,1005.0
ilnur zakarin,2016,970.0
joaquim rodriguez,2016,938.0
tom boonen,2016,925.0
gianluca brambilla,2016,895.0
sergio luis henao,2016,888.0
timothy dupont,2016,882.0
geraint thomas,2016,878.0
jakob fuglsang,2016,849.0
bob jungels,2016,843.0
fernando gaviria,2016,822.0
wout poels,2016,816.0
niki terpstra,2016,811.0
samuel dumoulin,2016,778.0
giovanni visconti,2016,774.0
tony gallopin,2016,774.0
fabio aru,2016,772.0
wilco kelderman,2016,772.0
rohan dennis,2016,763.0
sep vanmarcke,2016,749.0
simon yates,2016,740.0
jarlinson pantano,2016,739.0
adam yates,2016,734.0
rigoberto uran,2016,713.0
tanel kangert,2016,701.0
zdenek stybar,2016,701.0
oliver naesen,2016,692.0
tony martin,2016,683.0
marc hirschi,2016,670.0
petr vakoc,2016,670.0
darwin atapuma,2016,665.0
matteo trentin,2016,663.0
miguel angel lopez,2016,663.0
francesco gavazzi,2016,655.0
tim wellens,2016,651.0
philippe gilbert,2016,645.0
dries devenyns,2016,644.0
andrew talansky,2016,636.0
fabio felline,2016,631.0
sebastien reichenbach,2016,631.0
caleb ewan,2016,625.0
tejay van garderen,2016,625.0
michal kwiatkowski,2016,623.0
ben swift,2016,621.0
warren barguil,2016,603.0
roman kreuziger,2016,602.0
jan bakelants,2016,590.0
john degenkolb,2016,585.0
pierre latour,2016,583.0
brandon mcnulty,2016,582.0
louis meintjes,2016,580.0
luis leon sanchez,2016,572.0
simon gerrans,2016,572.0
sergio pardilla,2016,568.0
magnus cort nielsen,2016,563.0
enrico gasparotto,2016,557.0
gianni meersman,2016,556.0
daniel mclay,2016,551.0
tiesj benoot,2016,550.0
sam bennett,2016,549.0
aleksey lutsenko,2016,548.0
daniel moreno,2016,536.0
samuel sanchez,2016,531.0
diego rosa,2016,530.0
domenico pozzovivo,2016,528.0
stephen cummings,2016,519.0
jonathan castroviejo,2016,513.0
sacha modolo,2016,512.0
jurgen roelandts,2016,508.0
mikel nieve,2016,507.0
steven kruijswijk,2016,505.0
michael valgren andersen,2016,504.0
tadej pogacar,2016,504.0
alberto bettiol,2016,492.0
sondre holst enger,2016,492.0
kenny dehaes,2016,490.0
nicolas roche,2016,485.0
daniele bennati,2016,484.0
ben hermans,2016,482.0
andreas kron,2016,472.0
jakub mareczko,2016,471.0
ide schelling,2016,470.0
nikias arndt,2016,466.0
jens debusschere,2016,460.0
gianni moscon,2016,459.0
jasper stuyven,2016,458.0
arthur vichot,2016,456.0
nils eekhoff,2016,455.0
primoz roglic,2016,454.0
michael albasini,2016,448.0
tanguy turgis,2016,436.0
jean pierre drucker,2016,434.0
edward theuns,2016,433.0
mikel landa,2016,431.0
danny van poppel,2016,424.0
alexis vuillermoz,2016,423.0
juan jose lobato,2016,421.0
pello bilbao,2016,421.0
sylvain chavanel,2016,420.0
peter kennaugh,2016,419.0
george bennett,2016,416.0
kristian sbaragli,2016,412.0
ariel maximiliano richeze,2016,409.0
yves lampaert,2016,409.0
gorka izagirre,2016,408.0
jens keukeleire,2016,406.0
jos van emden,2016,406.0
jakob egholm,2016,404.0
pieter vanspeybrouck,2016,401.0
thomas voeckler,2016,401.0
jonas van genechten,2016,400.0
dion smith,2016,396.0
dimitri claeys,2016,395.0
ethan hayter,2016,395.0
adrien petit,2016,393.0
davide formolo,2016,390.0
maciej bodnar,2016,388.0
david de la cruz,2016,387.0
alexys brunel,2016,386.0
daniel navarro,2016,383.0
sergey firsanov,2016,383.0
davide villella,2016,382.0
mathew hayman,2016,378.0
mikkel bjerg,2016,377.0
jesus herrada lopez,2016,375.0
rudy barbier,2016,375.0
ruben fernandez,2016,374.0
niccolo bonifazio,2016,370.0
andrey amador,2016,367.0
mauro finetto,2016,367.0
pierre rolland,2016,366.0
vasil kiryienka,2016,366.0
damiano caruso,2016,365.0
reto hollenstein,2016,363.0
anthony roux,2016,359.0
stef clement,2016,359.0
michael woods,2016,357.0
roy jans,2016,356.0
brent van moer,2016,355.0
michele scarponi,2016,355.0
robert gesink,2016,354.0
thomas de gendt,2016,354.0
marco marcato,2016,352.0
joey rosskopf,2016,350.0
xandro meurisse,2016,345.0
filippo pozzato,2016,343.0
ian stannard,2016,343.0
michel ries,2016,343.0
roman maikin,2016,341.0
jerome coppel,2016,339.0
emanuel buchmann,2016,336.0
alexandre geniez,2016,335.0
anthony delaplace,2016,335.0
andrea palini,2016,334.0
sergei chernetski,2016,333.0
viacheslav kuznetsov,2016,333.0
jose goncalves,2016,332.0
heinrich haussler,2016,329.0
moreno hofland,2016,329.0
hugh carthy,2016,326.0
reinardt janse van rensburg,2016,326.0
romain feillu,2016,326.0
anthony turgis,2016,324.0
luke durbridge,2016,324.0
sean de bie,2016,324.0
elia viviani,2016,323.0
maurits lammertink,2016,323.0
mathias frank,2016,322.0
grega bole,2016,320.0
jasper philipsen,2016,316.0
pieter weening,2016,316.0
simon spilak,2016,313.0
stefan bissegger,2016,311.0
lilian calmejane,2016,310.0
kanstantsin siutsou,2016,308.0
lawson craddock,2016,308.0
arvin moazemi goudarzi,2016,306.0
tom jelte slagter,2016,306.0
nelson oliveira,2016,304.0
hubert dupont,2016,302.0
vadim pronskiy,2016,302.0
davide rebellin,2016,300.0
serge pauwels,2016,299.0
andrea pasqualon,2016,298.0
alexander porsev,2016,296.0
daryl impey,2016,296.0
christopher juul jensen,2016,295.0
dylan van baarle,2016,294.0
sam oomen,2016,294.0
alessandro covi,2016,293.0
scott thwaites,2016,292.0
ramunas navardauskas,2016,291.0
rein taaramae,2016,291.0
luke rowe,2016,290.0
manuel quinziato,2016,290.0
leonardo duque,2016,288.0
daniel oss,2016,286.0
kristoffer halvorsen,2016,286.0
maxime monfort,2016,286.0
jay mccarthy,2016,285.0
nicolas edet,2016,285.0
matteo busato,2016,284.0
olivier pardini,2016,282.0
marco benfatto,2016,278.0
carlos barbero,2016,277.0
niklas markl,2016,277.0
francisco mancebo,2016,276.0
nathan haas,2016,275.0
amaury capiot,2016,274.0
nicola ruffoni,2016,274.0
matej mugerli,2016,273.0
jerome baugnies,2016,272.0
arnold jeannesson,2016,269.0
markus eibegger,2016,269.0
taylor phinney,2016,269.0
andrei grivko,2016,267.0
andrea fedi,2016,266.0
jacopo guarnieri,2016,266.0
huub duijn,2016,265.0
lachlan morton,2016,265.0
luca mozzato,2016,264.0
felix gall,2016,262.0
leigh howard,2016,262.0
imanol erviti,2016,261.0
manuel belletti,2016,261.0
moreno moser,2016,260.0
johan le bon,2016,259.0
alexey tsatevich,2016,257.0
brent bookwalter,2016,256.0
jelle vanendert,2016,256.0
samuele battistella,2016,256.0
mark renshaw,2016,255.0
stefan kung,2016,254.0
wout van aert,2016,254.0
yevgeniy gidich,2016,254.0
egor silin,2016,253.0
florian senechal,2016,253.0
julien vermote,2016,253.0
oscar gatto,2016,253.0
leopold konig,2016,252.0
andrea guardini,2016,249.0
christophe laporte,2016,249.0
vitaliy buts,2016,249.0
luis angel mate,2016,248.0
andrey zeits,2016,247.0
bert van lerberghe,2016,246.0
ian garrison,2016,245.0
paul voss,2016,245.0
jesper hansen 1,2016,244.0
joni brandao,2016,244.0
robin carpenter,2016,244.0
