rider_name,year,pcs_points
pierre barbier,2021,118.0
nathan van hooydonck,2021,117.0
petr vakoc,2021,117.0
rudy molard,2021,116.0
jenthe biermans,2021,115.0
krists neilands,2021,115.0
lawson craddock,2021,115.0
mikel iturria,2021,115.0
romain bardet,2021,115.0
james knox,2021,114.0
maciej bodnar,2021,114.0
eduard michael grosu,2021,113.0
florian vermeersch,2021,113.0
casper pedersen,2021,112.0
damien touze,2021,110.0
gerben thijssen,2021,107.0
silvan dillier,2021,107.0
chris harper,2021,106.0
dries van gestel,2021,106.0
matteo badilatti,2021,106.0
ruben fernandez,2021,106.0
anatoliy budyak,2021,105.0
diego rubio,2021,105.0
christophe noppe,2021,104.0
matteo moschetti,2021,104.0
christofer robin jurado,2021,103.0
simon yates,2021,103.0
miles scotson,2021,101.0
biniam ghirmay,2021,100.0
arjen livyns,2021,98.0
jonas koch,2021,98.0
victor lafay,2021,98.0
harry sweeny,2021,96.0
nacer bouhanni,2021,96.0
michael schar,2021,95.0
pierre latour,2021,95.0
richard carapaz,2021,95.0
damien gaudin,2021,94.0
michael morkov,2021,94.0
polychronis tzortzakis,2021,94.0
adam toupalik,2021,93.0
daniel munoz,2021,93.0
michael kukrle,2021,92.0
christopher juul jensen,2021,89.0
tom paquot,2021,88.0
kristian sbaragli,2021,87.0
szymon rekita,2021,87.0
thomas scully,2021,87.0
vadim pronskiy,2021,87.0
max kanter,2021,86.0
omar fraile,2021,86.0
frederico figueiredo,2021,85.0
jens debusschere,2021,85.0
lorenzo rota,2021,85.0
azzedine lagab,2021,83.0
emiel vermeulen,2021,83.0
jannik steimle,2021,82.0
remy rochas,2021,82.0
jordi warlop,2021,81.0
alejandro marque,2021,80.0
damiano caruso,2021,80.0
nelson soto,2021,80.0
daniel oss,2021,79.0
julien simon,2021,79.0
mattia cattaneo,2021,79.0
clement venturini,2021,77.0
andrea vendrame,2021,76.0
cesare benedetti,2021,76.0
gabriel cullaigh,2021,76.0
ben tulett,2021,75.0
edvaldas siskevicius,2021,74.0
fabio felline,2021,74.0
phil bauhaus,2021,74.0
lorrenzo manzin,2021,73.0
remy mertz,2021,73.0
davide formolo,2021,72.0
kent main,2021,71.0
simon carr,2021,71.0
mathias norsgaard,2021,70.0
pier andre cote,2021,70.0
tim declercq,2021,70.0
yukiya arashiro,2021,70.0
davide rebellin,2021,68.0
lennard kamna,2021,68.0
michal golas,2021,68.0
owain doull,2021,68.0
