rank,count
1,4
2,5
3,3
4,2
5,1
6,2
7,1
8,1
9,1
10,0
11,2
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
