rank,count
1,2
2,3
3,3
4,2
5,2
6,3
7,0
8,2
9,0
10,3
11,0
12,0
13,0
14,0
15,0
16,2
17,0
18,1
19,0
20,0
21,0
22,0
23,3
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
