rank,count
1,2
2,2
3,2
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,1
