rank,count
1,2
2,0
3,2
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,2
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
