rank,count
1,1
2,1
3,4
4,5
5,0
6,1
7,1
8,2
9,3
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,3
21,0
22,0
23,0
24,0
25,2
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,1
