rank,count
1,4
2,2
3,1
4,3
5,2
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,2
17,1
18,0
19,1
20,2
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,0
40,2
