rank,count
1,2
2,1
3,2
4,1
5,1
6,1
7,1
8,0
9,1
10,3
11,0
12,1
13,1
14,2
15,2
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,2
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
