rank,count
1,3
2,3
3,1
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,1
13,1
14,2
15,0
16,2
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,2
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,0
