rider_name,year,pcs_points
gianluca pierobon,1991,138.0
dominik krieger,1991,137.0
mario manzoni,1991,137.0
neil stephens,1991,135.0
bart leysen,1991,133.0
jesus blanco 1,1991,133.0
martien kokkelkoren,1991,133.0
francisco javier mauleon,1991,132.0
miguel angel martinez torres,1991,132.0
francois lemarchand,1991,131.0
santos hernandez,1991,131.0
andrea ferrigato,1991,130.0
john van den akker,1991,129.0
christian chaubet,1991,128.0
fabrizio bontempi,1991,128.0
falk boden,1991,128.0
harald maier,1991,128.0
bo hamburger,1991,124.0
endrio leoni,1991,124.0
dag otto lauritzen,1991,118.0
jim van de laer,1991,118.0
frank pineau,1991,116.0
herve garel,1991,115.0
arturas kasputis,1991,114.0
joaquim augusto gomes,1991,113.0
stefano zanatta,1991,113.0
benjamin van itterbeeck,1991,110.0
dario nicoletti,1991,110.0
jose jaime gonzalez,1991,110.0
laurent bezault,1991,110.0
roberto lezaun,1991,110.0
dante rezze,1991,108.0
giuseppe citterio,1991,108.0
jan svorada 1,1991,107.0
roland muller,1991,107.0
stefano allocchio,1991,107.0
jean claude bagot,1991,106.0
roberto torres,1991,105.0
romes gainetdinov,1991,105.0
josef holzmann,1991,103.0
delmino pereira,1991,102.0
jean philippe dojwa,1991,101.0
andrey mizurov,1991,100.0
fabio rodriguez,1991,100.0
guy nulens,1991,100.0
nico emonds,1991,100.0
beat zberg,1991,98.0
marc van orsouw,1991,98.0
mikel zarrabeitia,1991,98.0
paulo jorge de moura ferreira,1991,98.0
michele coppolillo,1991,97.0
asiat saitov,1991,96.0
franck boucanville,1991,96.0
jean pierre heynderickx,1991,96.0
carlos galarreta,1991,95.0
paulo pinto,1991,95.0
ludo giesberts,1991,93.0
jean philippe rouxel,1991,92.0
massimo podenzana,1991,91.0
eddy mazzoleni,1991,90.0
erich machler,1991,90.0
francois simon,1991,90.0
marc wauters,1991,89.0
rob harmeling,1991,89.0
eddy seigneur,1991,86.0
oscar de jesus vargas restrepo,1991,86.0
bo andre namtvedt,1991,85.0
danny nelissen,1991,85.0
luca gelfi,1991,85.0
thierry gouvenou,1991,85.0
carlos mario jaramillo,1991,84.0
laurent madouas,1991,83.0
stephane heulot,1991,83.0
eric de clercq,1991,82.0
willy willems,1991,82.0
ignacio garcia,1991,81.0
louis de koning,1991,81.0
christian henn,1991,80.0
fred rodriguez,1991,80.0
julio cesar,1991,80.0
kees hopmans,1991,80.0
rik reinerink,1991,80.0
alberto leanizbarrutia abaunza,1991,79.0
jocelyn jolidon,1991,79.0
jose luis santamaria,1991,79.0
fabio bordonali,1991,78.0
marco saligari,1991,78.0
alain van den bossche,1991,76.0
laurent pillon,1991,76.0
rik van slycke,1991,76.0
jan karlsson 2,1991,75.0
mirko gualdi,1991,75.0
andy bishop,1991,74.0
dariusz baranowski,1991,73.0
fabio roscioli,1991,72.0
ludwig willems,1991,72.0
bobby julich,1991,70.0
laurent desbiens,1991,70.0
marino alonso,1991,70.0
sergei uslamin,1991,70.0
peter roes,1991,68.0
ron kiefel,1991,68.0
alberto elli,1991,65.0
jorg muller,1991,65.0
luis perez garcia,1991,64.0
patrick de wael,1991,63.0
johan verstrepen,1991,62.0
norman alvis,1991,61.0
patrick van roosbroeck,1991,61.0
erik dekker,1991,60.0
giancarlo perini,1991,60.0
fabio baldato,1991,59.0
mauro antonio santaromita,1991,59.0
peter spaenhoven,1991,58.0
davide bramati,1991,55.0
henk vogels,1991,55.0
herbert niederberger,1991,55.0
luis santos,1991,55.0
tom desmet,1991,55.0
gianluca tonetti,1991,53.0
peter farazijn,1991,53.0
remigius lupeikis,1991,53.0
rodolfo massi,1991,52.0
alvaro sierra 1,1991,50.0
arsenio gonzalez,1991,50.0
mario scirea,1991,50.0
peter naessens,1991,50.0
stefano giraldi,1991,50.0
thomas fleischer,1991,50.0
paolo antonio fanelli,1991,49.0
yvon ledanois,1991,49.0
joaquim sampaio,1991,48.0
gilberto simoni,1991,47.0
antonio sanchez garcia,1991,45.0
ramon gonzalez arrieta,1991,44.0
aitor garmendia,1991,43.0
jose ramon uriarte,1991,43.0
patrick deneut,1991,43.0
fernando escartin,1991,42.0
marc bouillon,1991,42.0
michael rich,1991,42.0
peter verbeken,1991,41.0
davy delme,1991,40.0
flavio vanzella,1991,40.0
jan van camp,1991,40.0
jean pierre bourgeot,1991,40.0
jos van aert,1991,40.0
lance armstrong,1991,40.0
patrick robeet,1991,40.0
vladislav bobrik,1991,40.0
bert dietz,1991,39.0
dirk demol,1991,38.0
hernan buenahora,1991,38.0
luis maria diaz de otazu,1991,38.0
roberto pelliconi,1991,38.0
dario bottaro,1991,37.0
angelo canzonieri,1991,36.0
flavio giupponi,1991,36.0
peter wrolich,1991,36.0
pierre herinne,1991,36.0
danny daelman,1991,35.0
eros poli,1991,35.0
marco zen,1991,35.0
peter meinert nielsen,1991,35.0
chris peers,1991,34.0
eleuterio anguita,1991,34.0
theo akkermans,1991,34.0
marco pantani,1991,33.0
federico garcia melia,1991,32.0
kaspars ozers,1991,32.0
kevin livingston,1991,32.0
massimo strazzer,1991,32.0
petar petrov,1991,32.0
vicente aparicio,1991,32.0
gert jakobs,1991,30.0
sergio barbero,1991,30.0
daniel verelst,1991,29.0
oscar pellicioli,1991,29.0
giuseppe di grande,1991,28.0
carmelo miranda,1991,27.0
bart voskamp,1991,26.0
alfredo irusta,1991,25.0
angel yesid camargo,1991,25.0
davide perona,1991,25.0
francesco casagrande,1991,25.0
heinrich trumheller,1991,25.0
maurizio vandelli,1991,25.0
nicolas aubier,1991,25.0
tomasz brozyna,1991,25.0
claus michael moller,1991,24.0
duban alberto ramirez,1991,24.0
noel szostek,1991,24.0
peter van hoof,1991,24.0
erwin nijboer,1991,23.0
federico munoz,1991,23.0
jans koerts,1991,23.0
markus zberg,1991,23.0
maurizio molinari,1991,23.0
paolo botarelli,1991,23.0
fabrizio settembrini,1991,22.0
hendrik van dyck,1991,22.0
stephane hennebert,1991,22.0
anthony theus,1991,21.0
karl kalin,1991,21.0
vassili davidenko,1991,21.0
angel edo,1991,20.0
francisco cabello,1991,20.0
frank van veenendaal,1991,20.0
holger sievers,1991,20.0
israel ochoa,1991,20.0
joaquim salgado,1991,20.0
leith sherwin,1991,20.0
marek lesniewski,1991,20.0
stefano zanini,1991,20.0
christophe faudot,1991,19.0
dario frigo,1991,18.0
mickael pichon,1991,18.0
santiago blanco,1991,18.0
servais knaven,1991,18.0
andrei teteriouk,1991,17.0
davide rebellin,1991,17.0
leon van bon,1991,17.0
pascal chanteur,1991,17.0
herve boussard,1991,16.0
